Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,-0.36,0.02,0.12,-0.24,-0.06,-0.27,-0.12,-0.05,0.52,0.42,0.41,0.19,0.29,0.49,0.44,-0.01,-0.47,0.06,0.25,-0.45,0.13,-3.55,0.19
Depreciation & Amortization,0.13,0.14,0.15,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17
Share-Based Compensation,0.24,0.21,0.13,0.11,0.11,0.24,0.07,0.1,0.08,0.08,0.07,0.06,0.02,0.02,0.02,0.03,0,0,0,0,0,0,0
Other Operating Activities,-1.09,0.46,0.81,0.94,-0.63,-8.37,10.37,1.4,-1.85,3.25,1.02,-3.48,-1.73,2.98,-0.29,-2.12,-0.84,-1.47,0.97,2.11,-2.94,2.39,2.93
Operating Cash Flow,-1.09,0.83,1.22,0.97,-0.42,-8.24,10.5,1.61,-1.09,3.92,1.67,-3.07,-1.25,3.68,0.33,-1.93,-1.14,-1.23,1.38,1.82,-2.65,-0.99,3.28
Operating Cash Flow Growth,-,-,-88.37%,-39.93%,-,-,530.01%,-,-,6.52%,400.30%,-,-,-,-75.90%,-,-,-,-57.90%,-,-,-,-
Capital Expenditures,-0.08,-0.03,-0.03,-0.03,-0.1,-0.05,-0.1,-0.07,-0.03,-0.06,-0.07,-0.02,-0.14,-0.09,-0.12,-0.06,0.4,-0.5,-0.42,-0.16,-0.1,-0.12,-0.09
Acquisitions,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3.49,-3.49,0,0,0,0,0,0
Change in Investments,-5.74,-0.65,-1.95,-24.85,-27.5,-10.68,-4.79,-26.31,-8.6,-5.89,4.07,-14.61,10.23,11.44,16.56,16.85,11.97,1.99,0.07,-1.98,-16.66,-5.29,-8.51
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.24,0.77,-,0.86,-,-,-,-,-
Investing Cash Flow,-5.82,-0.67,-1.98,-24.89,-27.6,-10.63,-4.89,-26.38,-8.63,-5.95,4.01,-14.63,10.1,11.45,16.68,21.05,8.87,2.35,-0.35,-2.14,-16.76,-5.41,-8.6
Share Issuance / Repurchase,-0.14,-1.26,-2,-0.55,-0.53,-0.74,33.96,0,-0.02,-0.03,-0.79,-0.23,0,0,0,0,18.27,0,0,0,0,0,0
Debt Issued / Paid,23.47,5.32,2,1.99,5.88,-10.61,-4.67,-1.42,2.87,-9.18,0.32,18.95,41.73,-0.4,-2.08,-7.2,-2.27,-15.99,12.2,-6.03,6,-10.27,8.1
Other Financing Activities,-15.76,8.42,-3.76,-7.89,6.45,10.18,-93.85,88.53,-2.19,24.86,4.98,25.79,-20.37,-13.38,-40.74,-10.44,3.02,13.84,-12.26,6.16,9.11,12.37,1.42
Financing Cash Flow,7.57,12.48,-3.76,-6.45,11.8,-1.18,-64.57,87.11,0.67,15.66,4.51,44.51,21.36,-13.78,-42.82,-17.65,19.03,-2.15,-0.07,0.13,15.1,2.1,9.52
Net Cash Flow,0.67,12.64,-4.52,-30.37,-16.22,-20.05,-58.89,62.26,-9.05,13.63,10.18,26.81,30.2,1.35,-25.8,1.48,26.76,-1.03,0.96,-0.2,-4.31,-4.3,4.21
Free Cash Flow,-1.17,0.81,1.19,0.93,-0.52,-8.29,10.4,1.54,-1.11,3.86,1.6,-3.09,-1.39,3.59,0.21,-1.99,-0.74,-1.74,0.96,1.65,-2.75,-1.11,3.2
Free Cash Flow Growth,-,-,-88.55%,-39.35%,-,-,550.56%,-,-,7.35%,653.77%,-,-,-,-77.96%,-,-,-,-69.92%,-,-,-,-
Free Cash Flow Margin,-29.69%,18.21%,27.07%,28.22%,-13.50%,-193.22%,286.39%,36.22%,-23.29%,72.51%,29.00%,-70.30%,-39.61%,75.20%,5.13%,-53.97%,-19.06%,-43.58%,24.48%,42.41%,-75.25%,-29.53%,87.35%
Free Cash Flow Per Share,-0.21,0.14,0.20,0.16,-0.09,-1.42,1.73,0.34,-0.24,0.76,0.36,-0.68,-0.22,0.58,0.03,-0.32,-0.12,-0.27,0.15,0.26,-,-,-
