Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31
Net Income,7.64,7.33,3.07,0.76,6.47,10.17,8.72,11.08,3.22,6.72,8.7,10.49,1.06,1.45,4.34,1.58,-
Depreciation & Amortization,0.71,0.71,0.71,0.96,0.98,1.14,1.13,1.17,1.12,1.02,0.99,1.05,0.99,1.25,0.89,-,-
Share-Based Compensation,4.24,4.13,4.15,4.58,4.18,1.74,0.69,0.63,0.58,1.68,1.41,0.87,0.56,1.26,1.63,-,-
Other Operating Activities,-1.2,2.29,-10.99,8.17,-5,-8.33,7.25,-3.06,14,-11.11,0.06,-2.17,3.91,0.82,17.28,-1.58,-
Operating Cash Flow,11.38,14.46,-3.06,14.47,6.63,4.72,17.79,9.81,18.92,-1.69,11.17,10.24,6.52,4.78,24.14,-,-
Operating Cash Flow Growth,71.79%,206.33%,-,47.50%,-64.99%,-,59.32%,-4.18%,190.29%,-,-53.73%,-,-,-,-,-,-
Capital Expenditures,-0.38,-0.02,-0.1,-0.01,0,-0.35,-0.07,-0.07,-0.21,-0.31,-0.05,-0.11,-0.22,0.76,-0.17,-,-
Change in Investments,-5.16,-2.2,-3.15,-1.64,-5.88,3.13,5.73,-4.32,16.07,-3.91,3.3,-1.64,-1.66,-9.8,9.65,-,-
Other Investing Activities,-,-,-,-10.5,-,-,-13.56,-,-27,-,-,-,-12.5,-,-,-,-
Investing Cash Flow,-5.54,-2.22,-3.25,-12.15,-5.88,2.79,-7.89,-4.38,-11.14,-4.22,3.25,-1.75,-14.38,-9.04,9.48,-,-
Dividends Paid,-6.46,-6.45,-6.44,-6.46,-6.43,-6.39,-6.39,-6.39,-6.39,-6.33,-5.89,-5.54,-5.34,-5.8,-5.73,-,-
Share Issuance / Repurchase,-3.76,0,-1.66,-5.24,-1.96,-6.83,-1.19,-1.94,-0.24,0,-0.24,2.42,-4.21,-2.44,-3.81,-,-
Debt Issued / Paid,-0.47,-1.44,9.3,7.93,7.64,-4.05,10.85,-0.54,4.43,-1.72,-1.41,-1.37,3.68,-1.41,-2.14,-,-
Other Financing Activities,0.28,0.73,6.11,0.13,0.36,0.09,-0.11,0.56,0.35,1.12,2.4,-,-,-,-,-,-
Financing Cash Flow,-10.41,-7.16,7.31,-3.65,-0.39,-17.18,3.16,-8.32,-1.86,-6.93,-5.15,-4.49,-5.88,-9.65,-11.67,-,-
Net Cash Flow,-4.64,2.89,1.96,-3.67,0.69,-10.37,12.44,-2.89,6.52,-5.78,9.6,5.38,-19.84,-12.75,22.21,-,-
Free Cash Flow,11,14.44,-3.16,14.46,6.63,4.37,17.73,9.74,18.71,-2,11.12,10.13,6.3,5.54,23.97,-,-
Free Cash Flow Growth,66.05%,230.38%,-,48.40%,-64.59%,-,59.45%,-3.80%,196.83%,-,-53.61%,-,-,-,-,-,-
Free Cash Flow Margin,27.09%,39.94%,-8.77%,47.33%,15.60%,9.24%,42.93%,26.83%,47.07%,-5.21%,31.40%,32.63%,37.13%,26.77%,120.52%,-,-
Free Cash Flow Per Share,0.42,0.58,-0.13,0.58,0.26,0.17,0.69,0.38,0.73,-0.08,0.45,0.40,0.25,0.22,0.94,-,-
