Metrics,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30
Net Income,0.17,-0,-0.01,-0,-0,-0
Other Operating Activities,-0.45,0.05,0.01,0,-,-
Operating Cash Flow,-0.28,0.05,-,-0,-0,-0
Share Issuance / Repurchase,56.86,0,-,0,0,0.03
Debt Issued / Paid,-0.2,0,-,0,0,0.2
Other Financing Activities,-56.34,-0.07,-,-0.03,-0.06,-0.11
Financing Cash Flow,0.32,-0.07,-,-0.03,-0.06,0.12
Net Cash Flow,0.04,-0.02,-,-0.03,-0.06,0.12
Free Cash Flow,-0.28,0.05,-,-0,-0,-0
Free Cash Flow Per Share,-0.10,0.04,-,-,-,-0.00
