Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-09-30,2021-06-30
Net Income,-1.41,-47.04,1.06,0.34,0.5,0.95,-1.74
Depreciation & Amortization,0.75,0.19,0,0,0,0,0
Share-Based Compensation,1.57,"2,806,336",0,0,0,0,0
Other Operating Activities,-1.13,"-2,806,289.42",-,0.39,0,-1.42,1.74
Operating Cash Flow,-0.23,-0.28,1.06,0.73,0.51,-0.47,-0
Capital Expenditures,-0.55,-0,0,-0,-0,0,0
Other Investing Activities,1.01,-2.41,-,-0.49,0.01,-117.3,-117.3
Investing Cash Flow,0.46,-2.41,0,-0.49,0.01,-117.3,-117.3
Common Stock Issued,0,0,0,0,0,0.03,0.03
Other Financing Activities,-,3.81,-,0.07,0.06,118.08,118.21
Financing Cash Flow,0,3.81,0,0.07,0.06,118.1,118.24
Net Cash Flow,0.24,1.12,1.06,0.31,0.57,-0.61,0.91
Free Cash Flow,-0.78,-0.28,1.06,0.72,0.5,-0.47,-0
Free Cash Flow Margin,-18.54%,-,40.53%,39.11%,30.04%,-27.54%,-
Free Cash Flow Per Share,-0.01,0.06,0.04,0.03,-0.03,-0.00,-
