Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,-0.01,2.73,3.71,3.82,-0.27,6.76,-0.16,-1.96
Other Operating Activities,-0.04,-3.19,-4.23,-3.88,0.03,-6.88,-0.15,1.41
Operating Cash Flow,-0.05,-0.46,-0.52,-0.06,-0.24,-0.12,-0.31,-0.55
Change in Investments,263.96,0,0,0,0,0,0,-276
Investing Cash Flow,263.96,0,0,0,0,0,0,-276
Share Issuance / Repurchase,-263.96,0,0,0,0,0,0,275.55
Debt Issued / Paid,0.2,0.54,0.3,0,0,0,0,0
Other Financing Activities,-,-,-,-,-,-,-,2
Financing Cash Flow,-263.76,0.54,0.3,0,0,0,0,277.55
Net Cash Flow,0.15,0.08,-0.22,-0.06,-0.24,-0.12,-0.31,1
Free Cash Flow,-0.05,-0.46,-0.52,-0.06,-0.24,-0.12,-0.31,-0.55
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.00,-0.01,-0.00,-0.01,-0.02
