Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.82,0.34,0.04,-0.36,0,-0.01
Other Operating Activities,-0.96,-0.44,-0.2,0.06,-0.01,0.01
Operating Cash Flow,-0.14,-0.1,-0.16,-0.3,-0.01,0
Change in Investments,0,0,0,-116.15,0,0
Investing Cash Flow,0,0,0,-116.15,0,0
Share Issuance / Repurchase,0,0,0,120.45,0,0.03
Debt Issued / Paid,0,0,0,-0.15,0.15,0
Other Financing Activities,-,-,-0.11,-3.23,-0.16,-
Financing Cash Flow,0,0,-0.11,117.07,-0.01,0.03
Net Cash Flow,-0.14,-0.1,-0.27,0.62,-0.02,0.03
Free Cash Flow,-0.14,-0.1,-0.16,-0.3,-0.01,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.03,-0.00,-
