Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Net Income,31.12,31.07,32.74,29.31,27.39,27.72,32.48,30.22,28.11,26.46,20.06,18.5,16.41,21.94,24.44,23.39,22.2,21.45,19.89,21.96,19.12,17.99,17.18,16.67,16.21,15.23,14.26,14.48,13.82,14.42,13.93,15.63,13.51,15,14.95,14.49,13.63,13.72,14.9,13.94,Upgrade
Depreciation & Amortization,4.17,4.32,4.45,4.96,5.36,5.57,5.78,5.8,6.86,7.69,7.46,7.95,7.98,8.51,8.77,8.98,9.01,8.27,8.32,8.25,7.99,8.29,8.39,7.96,7.32,7.26,7.29,7.14,6.72,6.51,6.41,5.94,5.63,5.38,5.04,4.78,4.72,4.83,4.76,4.91,Upgrade
Share-Based Compensation,1.12,1.08,0.89,0.89,0.73,1.25,1.24,0.84,0.89,0.92,0.86,0.78,0.74,0.7,0.73,0.67,0.67,0.81,0.89,0.97,0.88,0.81,0.75,0.72,0.69,0.85,0.64,0.62,0.78,0.89,0.87,0.84,1.24,0.54,0.8,1.84,0,2.9,0,0,Upgrade
Other Operating Activities,10.44,7.32,16.71,-0.01,8.32,27.15,-20.98,7.21,6.64,22.41,24.28,-16.19,8.18,20.37,10.34,0.38,3.52,36.88,-6.5,4.24,6.29,14,14.64,-1.97,10.05,8.89,-2.62,-1.68,4.41,8.2,5.89,3.38,-2.68,-1.85,9.67,-11.73,-4.91,-3.05,7.51,3.25,Upgrade
Operating Cash Flow,46.85,43.79,54.79,35.15,41.8,61.69,18.52,44.07,42.49,57.48,52.66,11.05,33.31,51.52,44.28,33.41,35.4,67.41,22.6,35.42,34.27,41.1,40.95,23.38,34.28,32.21,19.57,20.55,25.73,30.02,27.11,25.78,17.7,19.07,30.46,9.38,13.44,18.39,27.17,22.1,Upgrade
Operating Cash Flow Growth,12.08%,-29.02%,195.87%,-20.24%,-1.61%,7.32%,-64.83%,298.72%,27.58%,11.57%,18.92%,-66.92%,-5.91%,-23.57%,95.91%,-5.66%,3.29%,64.03%,-44.81%,51.50%,-0.02%,27.57%,109.28%,13.75%,33.23%,7.31%,-27.82%,-20.29%,45.36%,57.44%,-11.00%,174.77%,31.65%,3.66%,12.11%,-57.54%,-30.64%,-46.77%,31.08%,3.82%,Upgrade
Capital Expenditures,-0.81,-1.93,0.67,2.11,3.53,-1.58,0.95,1.19,-0.4,8.87,1.9,9.45,3.37,-0.47,-0.43,-3.14,-3.07,-3.48,-2.66,-5.29,-12.53,-0.74,-9.82,-24.48,-14.23,-9.88,-5.68,-16.04,-7.44,-24.41,-8.45,-18.05,-13.11,-16.15,-8.9,-9.34,-1.17,-5.59,-12.23,-4.27,Upgrade
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.87,0,0,1.87,-0.08,0,0.08,0,0,1.43,1.47,0,0.42,0,0,0,0.57,0,0,0,0,0,0,Upgrade
Change in Investments,-23.85,-208.72,-256.11,-179.69,-139.28,-300.83,-56.33,-96.54,-149.53,-8.54,29.91,-578.33,-60.55,-3.54,-16.27,-207.24,-110.6,-40.55,-13.3,-178.9,-212.24,-135.96,-103.28,-165.14,-33.7,-47.8,-49.97,-132.91,-44.74,-53.23,-101.2,-147.89,-21.48,-13.43,63.88,-119.39,-36.91,-86.79,16.45,-107.58,Upgrade
Other Investing Activities,0.39,0.47,-9.88,0.32,3.63,0.75,1.53,1.54,0.7,4.21,4.7,1.58,0.76,1.32,3.56,1.92,4.04,8.5,2.79,0.58,-0.89,3.43,-1,-1.47,1.73,0.67,0.32,0.14,0.57,-0.09,-0.73,0.7,5.89,3.11,0.71,3.19,5.01,3.32,-,0.2,Upgrade
Investing Cash Flow,-24.27,-210.18,-265.32,-177.25,-132.12,-301.66,-53.85,-93.81,-149.24,4.54,36.52,-567.3,-56.42,-2.69,-13.15,-208.45,-109.63,-37.4,-13.17,-183.61,-223.78,-133.35,-114.08,-191.01,-46.2,-57.01,-53.89,-147.34,-51.61,-77.31,-110.38,-165.23,-28.69,-25.89,55.68,-125.54,-33.08,-89.05,4.22,-111.65,Upgrade
Dividends Paid,-8.14,-8.14,-8.13,-7.91,-7.92,-7.94,-8,-7.81,-7.6,-7.39,-7.39,-7.38,-7.61,-7.61,-7.1,-7.14,-7.17,-6.67,-6.69,-6.42,-5.91,-5.38,-5.11,-5.11,-4.84,-4.89,-4.83,-4.83,-4.87,-4.84,-4.42,-4.43,-4.43,-4.43,-4.44,-4.5,-4.27,-4.23,-4.28,-4.28,Upgrade
Share Issuance / Repurchase,-0.77,0,0,-4.41,-2.18,-3.07,-9.67,-13.69,-6.62,-6.42,0,0.04,0,0,-1.41,-6.37,-7.26,-8.45,-0.03,0.14,-0.79,0,0,0.15,-0.04,0,-0.03,0.12,-8.01,-1.76,-3.53,-1.57,-2.96,0,-0.55,-15.44,-0.16,-3.49,-1.42,0.12,Upgrade
Debt Issued / Paid,84.78,-126.72,172.3,-52.29,-3.31,-25.81,42.9,-9.09,27.93,-15.13,-11.81,-106.25,145.04,-51.45,10.7,-69.71,54.33,-91.54,13.16,-79.34,140.73,-102.78,9.96,11.45,-2.6,85.44,9.81,19.58,-41.7,-50.61,21.14,61.76,-46.14,28.85,-137.06,52.33,-16.93,92.43,19.44,77.04,Upgrade
Other Financing Activities,-127.22,306.44,-117.79,71.58,-4.57,164.69,177.93,213.82,185.95,55.74,-96,727.78,-75.37,-33.88,-2.33,287.07,2.94,61.85,-46.46,327.11,28.6,179.02,91.68,145.06,3.22,-43.28,51.95,99.94,85.96,120.03,56.57,92.13,67.6,-33.11,20.24,107.31,54.77,-25.77,-21.38,20.23,Upgrade
