Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,2.48,7.02,6.44,8.15,7.5,18.28,-17.95,-5.7,-,0
Other Operating Activities,-2.75,-7.6,-6.87,-8.33,-8.29,-18.68,17.54,4.85,-,-
Operating Cash Flow,-0.26,-0.59,-0.43,-0.18,-0.79,-0.4,-0.41,-0.86,-,0
Change in Investments,0.17,0.63,0,0,0.15,0,0,0,-,0
Investing Cash Flow,0.17,0.63,0,0,0.15,0,0,0,-,0
Debt Issued / Paid,0,0,0,0,0.5,0,0,0,-,0.15
Other Financing Activities,-,-,-,-,-,-,-,-,-,-0.13
Financing Cash Flow,0,0,0,0,0.5,0,0,0,-,0.02
Net Cash Flow,-0.1,0.04,0.14,-0.18,-0.14,0.1,-0.41,-0.86,-,0.05
Free Cash Flow,-0.26,-0.59,-0.43,-0.18,-0.79,-0.4,-0.41,-0.86,-,0
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.00,-0.01,-0.01,-0.01,-0.01,-,-
