Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,3.52,-0.03,2.4,6.65,-0.26,-0,-0
Other Operating Activities,-3.82,-0.2,-2.69,-8.52,0.25,-,0
Operating Cash Flow,-0.31,-0.23,-0.29,-1.87,-0.01,-0,-0
Change in Investments,0,0,0,-236.9,0,0,0
Investing Cash Flow,0,0,0,-236.9,0,0,0
Share Issuance / Repurchase,0,0,0,225.4,0,0,0
Debt Issued / Paid,0,0,0,-0.24,0.07,0.01,0.08
Other Financing Activities,-0,-,-,15.52,-0.06,-0.01,-0.08
Financing Cash Flow,-0,0,0,240.68,0.01,-0,-0
Net Cash Flow,-0.31,-0.23,-0.29,1.91,0,-0,-0
Free Cash Flow,-0.31,-0.23,-0.29,-1.87,-0.01,-0,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.07,-0.00,-,-
