Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Net Income,0.28,0.71,0.64,0.6,0.35,1.12,1.28,1.3,2.06,2.06,1.5,0.15,0.21,0.33,0.41,0.06,0.14,0.27,0.22,0.13,0.18,0.24,0.18,0.1,0.04,0.25,0.5,0.17,0.12,0.24
Depreciation & Amortization,0.36,0.37,0.38,0.39,0.42,0.41,0.39,0.36,0.32,0.32,0.3,0.27,0.25,0.22,0.12,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Share-Based Compensation,0.27,0.14,0.06,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.08,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0
Other Operating Activities,0.82,3.41,-5.71,27.67,28.61,-0.95,-13.43,22.65,17.78,-56.5,-6.52,0.47,1.44,-4.59,-29.07,10.32,0.57,-1.82,-5.18,3.76,-1.66,2.64,-6.52,0.34,17.63,0.48,-11.3,0.63,-3.88,7.15
Operating Cash Flow,1.74,4.62,-4.64,28.77,29.49,0.67,-11.67,24.4,20.25,-54.02,-4.63,0.99,1.99,-3.94,-28.45,10.57,0.88,-1.38,-4.87,3.97,-1.4,2.96,-6.27,0.51,17.72,0.78,-10.75,0.85,-3.72,7.43
Operating Cash Flow Growth,-94.11%,586.78%,-,17.90%,45.64%,-,-,2377.16%,919.95%,-,-,-90.68%,125.82%,-,-,166.41%,-,-,-,673.68%,-,280.08%,-,-39.36%,-,-89.53%,-,-,-,-
Capital Expenditures,0,-0.01,-0.09,-0.02,-0.04,-0.19,-0.43,-0.37,-0.17,-0.2,-0.28,-0.15,-0.29,-0.23,-0.21,-0.23,-0.14,-0.18,-0.11,-0.06,-0.08,-0.03,-0.1,-0.11,-0.13,-0.05,-0.1,-0.03,-0.01,-0.07
Change in Investments,-23.89,-47.52,-90.34,-27.98,-16.67,16.91,1.23,-32.67,-3.36,-5.78,-52.5,-0.04,-6.18,5.66,0.03,-0.1,-8.07,-11.33,-28.9,-24.91,-24.06,-15.05,-11.93,-18.9,-3.76,0.7,-2.27,-0.84,1.15,-4.4
Other Investing Activities,-,0.5,-4.5,0.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-,-1.86,-0.17,0.07,0.1,-,-,-,-,-
Investing Cash Flow,-23.89,-47.02,-94.93,-27.12,-16.71,16.72,0.8,-33.04,-3.52,-5.98,-52.78,-0.19,-6.46,5.43,-0.19,-0.33,-8.21,-11.51,-29.02,-24.97,-24.14,-16.93,-12.19,-18.93,-3.8,0.66,-2.37,-0.86,1.14,-4.46
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.09,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-0.12,-0.06,-0.07,-0.13,-0.15,-0.01,0,-0.24,-0.53,-0.21,-0.23,-0.12,0,0,-0,0,0,0,0,0,0,0,-0.01,17.97,0,0,0,0,0,0
Debt Issued / Paid,-9.82,9.88,0.15,-3.26,-0.65,-14.68,-18.01,-13.92,-8.46,8.14,43.39,4.8,-1.34,-3.91,19.99,-0.03,-4.1,-11.49,13.08,0.54,2.89,0.23,0.81,0.85,-11.06,-2.6,12.05,0.67,2.11,-1.16
Other Financing Activities,21.29,22.58,15.48,2.05,24.13,2.46,-29.76,-253.64,359.73,70.55,22.39,-5.58,-0.81,9.45,16,-14.33,22.4,15.66,20.61,21.69,21.85,0.78,-1.32,-41.29,73.61,-2.3,-4.97,5.15,0.65,-1.94
Financing Cash Flow,11.35,32.4,15.56,-1.34,23.33,-12.23,-47.76,-267.8,350.74,78.48,65.55,-0.91,-2.15,5.54,35.99,-14.36,18.3,4.16,33.69,21.14,24.73,1,-0.52,-22.47,62.56,-4.9,7.09,5.82,2.76,-3.09
Net Cash Flow,-10.81,-10,-84.01,0.31,36.11,5.17,-58.63,-276.44,367.46,18.48,8.14,-0.11,-6.63,7.02,7.35,-4.11,10.97,-8.73,-0.2,0.14,-0.81,-12.97,-18.98,-40.89,76.48,-3.46,-6.03,5.8,0.18,-0.12
Free Cash Flow,1.74,4.62,-4.72,28.74,29.44,0.49,-12.1,24.03,20.08,-54.22,-4.91,0.83,1.7,-4.17,-28.66,10.35,0.74,-1.56,-4.98,3.91,-1.48,2.93,-6.36,0.41,17.59,0.73,-10.85,0.82,-3.73,7.37
