Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.75,0,-3.23,4.45,-2.81,6.44,-0.75
Other Operating Activities,-0.72,-0.25,3.01,-4.58,2.77,-6.51,0.24
Operating Cash Flow,0.03,-0.25,-0.22,-0.13,-0.05,-0.07,-0.51
Change in Investments,87.52,0.06,0,0,0,0,0
Investing Cash Flow,87.52,0.06,0,0,0,0,0
Share Issuance / Repurchase,-87.54,0,1.55,0,0,0,105.58
Debt Issued / Paid,0,0.06,0.15,-0.05,0,0,0.12
Other Financing Activities,-,-,-,-,-,-,-0.46
Financing Cash Flow,-87.54,0.06,1.7,-0.05,0,0,105.24
Net Cash Flow,0.01,-0.12,0.01,-0.18,-0.05,-0.07,0.44
Free Cash Flow,0.03,-0.25,-0.22,-0.13,-0.05,-0.07,-0.51
Free Cash Flow Per Share,0.00,-0.02,-0.02,-0.01,-0.00,-0.01,-0.09
