Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Net Income,8.28,8.02,10.9,10.78,10.74,9.16,9.25,10.43,10.96,9.92,10.13,1.08,6.28,7.37,7.53,6.04,5.34,6.51,5.09,4.63,4.36,2.81,4.14,3.98,3.52,3.57,3.37,2.5,2.68
Depreciation & Amortization,1.21,1.19,1.2,1.26,1.29,1.29,1.34,1.44,1.45,1.41,1.39,1.34,1.32,1.31,1.3,1.3,1.35,1.29,1.22,1.08,1.04,1.03,1.04,1.06,1.07,1.12,0.99,1.03,1.02
Share-Based Compensation,0.15,0.2,0.16,0.17,0.16,0.22,0.18,0.17,0.16,0.26,0.18,0.16,0.16,0.17,0.18,0.18,0.14,0.21,0.14,0.12,0.12,0.11,0.12,0.06,0.06,0.05,0.07,0.06,0.04
Other Operating Activities,2.07,1.16,-6.7,-8.17,6.48,-4.34,4.78,-0.26,-2.69,2.73,1.66,2.64,1.87,2.37,5.29,-11.33,3.5,-1.76,2.9,-2.1,3.36,2.5,-0.33,0.91,7.6,1.07,0.98,4.85,-0.99
Operating Cash Flow,11.71,10.58,5.57,4.03,18.66,6.32,15.56,11.78,9.88,14.32,13.36,5.22,9.63,11.22,14.3,-3.81,10.33,6.25,9.35,3.74,8.87,6.45,4.98,6.01,12.24,5.82,5.4,8.44,2.75
Operating Cash Flow Growth,-37.24%,67.34%,-64.19%,-65.78%,88.82%,-55.83%,16.45%,125.78%,2.64%,27.55%,-6.61%,-,-6.73%,79.51%,52.92%,-,16.43%,-2.99%,87.79%,-37.74%,-27.53%,10.78%,-7.81%,-28.84%,345.59%,-,-,-,-
Capital Expenditures,-2.18,-1.1,0.08,-1.19,-1.61,-0.1,-0.34,-0.57,-0.68,-0.4,-1.1,-1.67,-1.88,-1.11,-1.29,-1.18,-0.86,1.86,0.03,0.6,-1.65,-0.19,1.07,-0.3,-0.62,-1.18,2.71,-0.4,-0.12
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.42,24.93,0,0,0,0,0,0,2.4,0,0
Change in Investments,46.95,21.55,-53.88,-245.47,-403.34,-26.69,-79.03,-19.21,-76.51,76.05,5.18,-223.38,-18.58,38.52,-32.42,-25.57,6.16,-5.83,-41.11,-35.88,-45.26,-47.31,-2.05,-72.16,-62.25,-31.4,-11.41,11.47,-106.05
Other Investing Activities,-,-,-,-,-,-,-,-,0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,44.76,20.44,-53.79,-246.66,-404.96,-26.8,-79.37,-19.78,-76.73,75.64,4.09,-225.04,-20.46,37.41,-33.7,-26.76,5.3,-3.97,-47.5,-10.35,-46.91,-47.5,-0.98,-72.46,-62.87,-32.59,-6.3,11.07,-106.17
Dividends Paid,-2.63,-2.62,-2.62,-2.66,-2.42,-2.42,-2.41,-2.41,-2.19,-2.2,-2.09,-2.12,-2.08,-4.09,-1.96,0,-2.01,-2.01,-1.79,-1.68,-1.55,-1.55,-1.44,-2.58,0,-2.29,-0,-2.33,0
