Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,0.36,0.34,0.65,0.56,-0.83,0.23,0.47,0.4,0.4,0.22,0.38
Depreciation & Amortization,0.16,0.17,0.18,0.21,0.29,0.14,0.2,0.2,0.18,0.17,0.17
Share-Based Compensation,0.04,0.02,0.02,0.03,0.02,0,0,0,0,0,0
Other Operating Activities,-0.02,-0.36,-0.12,-0.05,1.67,-0.81,-0.26,0.13,0.16,-0.45,0.07
Operating Cash Flow,0.54,0.17,0.73,0.76,1.16,-0.44,0.41,0.72,0.74,-0.06,0.61
Operating Cash Flow Growth,-53.33%,-,79.36%,4.56%,55.93%,-,-33.61%,-,-,-,-
Capital Expenditures,-0.19,-0.02,-0.04,-0.09,-0.04,0,-0.01,-0.15,0,-0,-0.06
Change in Investments,-0.01,-0.79,-9.66,-9.23,-11.75,-14.71,0.16,-13.25,1.93,7.88,0.62
Other Investing Activities,-,-,-,-,-,-,-0.64,0,-0,-,-
Investing Cash Flow,-0.2,-0.81,-9.7,-9.31,-11.79,-14.71,-0.48,-13.4,1.93,7.87,0.57
Share Issuance / Repurchase,0,0,0,2.56,23.93,0,0,0,0,0,0
Debt Issued / Paid,0,0,0,-0.12,-0.17,-0.17,-0.46,-0.6,-0.6,-0.59,-1.01
Other Financing Activities,-5.57,-4.53,-6.96,0.51,-23.69,25.44,-2.44,0.3,3.13,2.77,0.93
Financing Cash Flow,-5.57,-4.53,-6.96,2.96,0.06,25.27,-2.9,-0.3,2.54,2.18,-0.09
Net Cash Flow,-5.23,-5.17,-15.93,-5.6,-10.57,10.13,-2.97,-12.98,5.21,9.99,1.09
Free Cash Flow,0.35,0.15,0.69,0.67,1.12,-0.44,0.4,0.57,0.74,-0.07,0.56
Free Cash Flow Growth,-68.90%,-,72.07%,17.31%,50.61%,-,-27.75%,-,-,-,-
Free Cash Flow Margin,15.11%,5.86%,26.92%,29.38%,50.79%,-20.21%,18.14%,27.36%,37.19%,-3.47%,28.58%
Free Cash Flow Per Share,0.06,0.02,0.11,0.11,0.20,-0.07,0.06,0.09,-,-,-
