Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,-1.56,3.49,-1.54,1.92,5.84,-0.39,3.52,1.95,-2.53
Other Operating Activities,0.23,-3.67,1.23,-1.99,-6.25,0.12,-3.61,-2.02,1.55
Operating Cash Flow,-1.33,-0.18,-0.31,-0.07,-0.4,-0.28,-0.1,-0.07,-0.98
Change in Investments,0,332.82,0.37,0,0,0,0,0,-345
Investing Cash Flow,0,332.82,0.37,0,0,0,0,0,-345
Share Issuance / Repurchase,0,-331.5,0,0,0,0,0,0,354
Debt Issued / Paid,0,0,0.34,0.06,0.3,0,0,0,-0.18
Other Financing Activities,-,-,-,-,-,0.05,-0.01,-0.03,-7.16
Financing Cash Flow,0,-331.5,0.34,0.06,0.3,0.05,-0.01,-0.03,346.66
Net Cash Flow,-1.33,1.14,0.39,-0.01,-0.1,-0.23,-0.1,-0.1,0.68
Free Cash Flow,-1.33,-0.18,-0.31,-0.07,-0.4,-0.28,-0.1,-0.07,-0.98
Free Cash Flow Per Share,-0.13,-0.00,-0.01,-0.00,-0.01,-0.01,-0.00,-0.00,-0.04
