Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Net Income,5.45,7.67,5.52,4.24,3.67,3.18,3.22,4.16,2.81,1.79,0.5,1.55,0.47,0.58,2,2.55,1.87
Depreciation & Amortization,0.25,0.31,0.39,0.39,0.39,0.4,-0.32,1.09,0.4,0.4,0.35,0.33,0.32,0.34,0.18,0.18,0.18
Share-Based Compensation,0.35,0.47,0.5,0.47,0.32,0.17,0.64,0.08,0.38,0.16,0.53,0.31,0.28,0.5,0.35,0.23,0.17
Other Operating Activities,-3.33,5.06,0.44,3.66,-4.84,1.72,0.63,-2.15,-0.21,-0.35,4.85,4.4,-1.13,3.72,2.43,-2.01,-0.8
Operating Cash Flow,2.72,13.51,6.85,8.77,-0.46,5.48,4.17,3.19,3.38,1.99,6.22,6.6,-0.06,5.15,4.96,0.95,1.43
Operating Cash Flow Growth,-,146.64%,64.35%,174.89%,-,175.28%,-33.08%,-51.64%,-,-61.33%,25.56%,593.59%,-,-,-,-,-
Capital Expenditures,-0.03,-0.01,-0.04,-0.08,-0.03,-0.02,0.64,-0.73,-0.07,-0.25,-1.57,-1.61,-0.07,-2.12,-0.33,-0.02,-0.03
Change in Investments,-22,-4.83,-81.13,-94.23,-91.58,-96.27,27.74,114.13,-104.39,-18.74,-68.07,-337.2,-25.49,-10.88,-24.06,-18.96,-41.07
Other Investing Activities,-0.03,-0,-,-0.01,-0.04,-,-0,-,-0.04,-0.01,-,-0.01,-0.82,-,-,-3.96,-
Investing Cash Flow,-22.06,-4.85,-81.17,-94.32,-91.65,-96.28,28.37,113.4,-104.5,-19,-69.64,-338.82,-26.38,-13,-24.39,-22.94,-41.1
Share Issuance / Repurchase,0.01,0,0,0,0.02,0.29,-0.05,-0.1,0.1,0.02,0.01,0.14,0.08,0.21,0.01,0.02,0.37
Debt Issued / Paid,75,-100,0,67.83,-74.22,21.84,113.78,-134.82,-54.22,-163.36,7.7,342.7,12,-10,-10,5,25
Other Financing Activities,-74.13,82.66,156.94,-48.38,-79.62,-61.92,62.28,50.06,97.51,94.97,51.53,356.84,40.63,64.33,41.69,11.05,-3.08
Financing Cash Flow,0.88,-17.34,156.94,19.45,-153.82,-39.79,176.01,-84.86,43.39,-68.37,59.24,699.68,52.71,54.54,31.7,16.07,22.29
Net Cash Flow,-18.46,-8.67,82.62,-66.1,-245.92,-130.59,208.54,31.73,-57.74,-85.38,-4.18,367.46,26.27,46.68,12.27,-5.93,-17.39
Free Cash Flow,2.7,13.5,6.81,8.69,-0.49,5.46,4.8,2.46,3.3,1.74,4.65,4.98,-0.13,3.02,4.63,0.93,1.4
Free Cash Flow Growth,-,147.22%,41.80%,253.11%,-,213.19%,3.25%,-50.61%,-,-42.31%,0.50%,435.81%,-,-,-,-,-
Free Cash Flow Margin,13.82%,59.43%,35.74%,52.06%,-3.05%,37.78%,32.35%,15.73%,23.67%,13.44%,40.91%,57.73%,-1.18%,28.17%,41.33%,8.60%,13.80%
Free Cash Flow Per Share,0.32,1.62,0.82,1.05,-0.06,0.66,0.58,0.30,0.40,0.21,0.57,0.61,-0.02,0.37,0.57,0.12,0.17
