Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,-0.22,0.14,0.01,-,-0.01,-0
Other Operating Activities,-0.05,-0.49,0.03,-,-0.03,-
Operating Cash Flow,-0.27,-0.34,0.03,-,-0.03,-0
Other Investing Activities,0.05,-,-,-,-,-
Investing Cash Flow,0.05,0,0,-,0,0
Share Issuance / Repurchase,0,55.42,0,-,0,0
Debt Issued / Paid,0.2,-0.05,0,-,-0,0
Other Financing Activities,-,-1.37,-0.05,-,-0.02,-0.07
Financing Cash Flow,0.2,54.01,-0.05,-,-0.02,-0.07
Net Cash Flow,-0.03,0.14,-0.02,-,-0.05,-0.07
Free Cash Flow,-0.27,-0.34,0.03,-,-0.03,-0
Free Cash Flow Per Share,-0.04,-0.13,0.02,-,-0.03,-
