Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Net Income,2.01,1.92,0.3,-0.08,-0.04
Other Operating Activities,-2.15,-2.02,-1.32,0.02,-0
Operating Cash Flow,-0.14,-0.1,-1.02,-0.06,-0.04
Change in Investments,0,0,-9.84,0,0
Investing Cash Flow,0,0,-9.84,0,0
Share Issuance / Repurchase,0,0,9.79,206.6,0
Debt Issued / Paid,0,0,0.24,4.7,0.3
Other Financing Activities,-,-,-0.83,-4.14,-0.1
Financing Cash Flow,0,0,9.21,207.16,0.2
Net Cash Flow,-0.14,-0.1,-1.65,2.1,0.16
Free Cash Flow,-0.14,-0.1,-1.02,-0.06,-0.04
Free Cash Flow Per Share,-0.01,-0.02,-0.20,-0.01,-0.01
