Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.17,1.78,5.45,9.1,12.16,-0,-0.01
Other Operating Activities,-2.38,-2,-5.91,-9.29,-13.02,-0,0.01
Operating Cash Flow,-0.21,-0.22,-0.46,-0.19,-0.86,-0,0
Share Issuance / Repurchase,0,0,0,0,345.03,0,0
Debt Issued / Paid,0.75,0,0,0,-0.06,0,0
Other Financing Activities,-,-,-,-,10.43,-,-
Financing Cash Flow,0.75,0,0,0,355.4,0,0
Net Cash Flow,0.54,-0.22,-0.46,-0.19,0.92,0,0
Free Cash Flow,-0.21,-0.22,-0.46,-0.19,-0.86,-0,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.00,-0.04,-,-
