Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-98,140,219,-1,156,-43,-6,2,3,1,1
Depreciation & Amortization,0,-2,12,3,0,0,0,0,0,0,0
Other Operating Activities,296,-407,-136,159,-79,945,655,51,-26,278,95
Operating Cash Flow,198,-269,95,161,77,902,649,53,-23,279,96
Operating Cash Flow Growth,157.14%,-,-85.36%,203.77%,-,223.30%,576.04%,-,-,-,-
Capital Expenditures,-101,16,-35,-5,0,1,-1,-1,0,-1,0
Acquisitions,0,0,0,"-4,086",0,0,0,0,0,0,0
Change in Investments,-6,"-1,257",735,527,-269,"-2,400","-1,076",-420,33,-294,-83
Other Investing Activities,33,45,-3,-34,-,-,-,-7,7,-,-
Investing Cash Flow,-74,"-1,196",697,"-3,598",-269,"-2,399","-1,077",-428,40,-295,-83
Dividends Paid,0,-1,-2,-1,-2,-2,-1,-5,0,0,0
Share Issuance / Repurchase,0,0,0,450,0,250,0,"1,135",25,13,0
Debt Issued / Paid,-96,317,-106,"2,266",124,"1,238",-18,18,0,-50,50
Other Financing Activities,182,144,389,"2,485",-,-,-,-,-,-,-
Financing Cash Flow,86,460,281,"5,200",122,"1,486",-19,"1,148",25,-37,50
Net Cash Flow,210,"-1,005","1,073","1,763",-70,-11,-447,773,42,-53,63
Free Cash Flow,97,-253,60,156,77,903,648,52,-23,278,96
Free Cash Flow Growth,25.97%,-,-90.74%,200.00%,-,224.82%,575.00%,-,-,-,-
Free Cash Flow Margin,8.06%,-16.25%,3.06%,12.15%,27.70%,18.28%,28.52%,58.43%,-,83.48%,84.21%
Free Cash Flow Per Share,1.92,-7.34,1.74,4.53,2.23,32.44,23.28,1.87,-,-,-
