Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.04,-0.28,-0.39,-0.31,-0.35,0,-0
Other Operating Activities,-0.32,0.04,-0.07,0.07,-0.37,0.23,-0.23
Operating Cash Flow,-0.28,-0.24,-0.46,-0.24,-0.72,0.23,-0.23
Share Issuance / Repurchase,0,0,0,0,109.22,0,0.03
Debt Issued / Paid,0,0,0,0,-0.24,-0.01,0.25
Other Financing Activities,-,-,-,-0.08,-0.16,-0.25,-
Financing Cash Flow,0,0,0,-0.08,108.82,-0.26,0.28
Net Cash Flow,-0.05,-0.24,-0.46,-0.32,1.08,-0.03,0.04
Free Cash Flow,-0.28,-0.24,-0.46,-0.24,-0.72,0.23,-0.23
Free Cash Flow Per Share,-0.02,-0.02,-0.03,-0.03,-0.08,0.09,-0.09
