Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,13.16,17.9,11.75,24.5,6.91,10.05,-1.33,63.41,-6.25,-4.37,10.21,49.94,12.32
Depreciation & Amortization,27.38,26.83,27.13,27.46,27.87,26.99,28.16,28.54,28.99,30.05,16.67,9.97,10.81
Share-Based Compensation,17.88,16.4,18.06,19.78,23.25,20.66,39.28,3.17,4.43,4.45,2.22,1.46,2.68
Other Operating Activities,-217.63,123.41,-70.66,158.44,-123.5,61.42,-19.45,87.41,-101.98,103,-95.17,38.99,-57.83
Operating Cash Flow,-159.21,184.53,-13.73,230.18,-65.47,119.12,46.66,182.52,-74.81,133.13,-66.07,100.36,-32.03
Operating Cash Flow Growth,-,54.91%,-,26.11%,-,-10.52%,-,81.87%,-,-,-,-,-
Capital Expenditures,-2.79,-3.02,-5.23,-4.57,-2.22,-3.35,-2.49,-1.73,-2.21,-1.9,-2.74,-2.55,-5.31
Acquisitions,-102.06,-7.71,0,0,0,-108.88,-343.16,0,0,90.59,-808.55,0,-28.74
Other Investing Activities,-,-,0.33,0.5,-0.5,-0.25,0.35,3.79,-,-3.1,-1.93,-0.13,-4.15
Investing Cash Flow,-104.85,-10.73,-4.9,-4.07,-2.72,-112.49,-345.3,2.05,-2.21,85.58,-813.22,-2.68,-38.2
Share Issuance / Repurchase,0.4,0.04,6.07,0.96,0.11,-55.46,"1,271.57",43.64,-47.52,-8.42,113.14,-7.12,-32.04
Debt Issued / Paid,-4.13,-4.13,-4.13,-4.7,388.07,-4.68,-5.87,-8.28,-1.34,-12.44,902.68,-65.55,148.3
Other Financing Activities,-25.9,58.52,-121.36,74.77,-79.44,143.31,-900.16,83.39,-89.31,132.46,-32.06,-1,-12.64
Financing Cash Flow,-29.62,54.42,-119.42,71.03,308.73,83.17,365.54,118.75,-138.17,111.61,983.75,-73.67,103.62
Net Cash Flow,-293.6,229.37,-139.67,296.67,241.36,90.4,65.95,303.57,-215.96,332.77,105.5,24.18,31.1
Free Cash Flow,-162,181.51,-18.96,225.61,-67.69,115.77,44.17,180.79,-77.01,131.23,-68.81,97.81,-37.34
Free Cash Flow Growth,-,56.79%,-,24.79%,-,-11.78%,-,84.83%,-,-,-,-,-
Free Cash Flow Margin,-35.40%,41.73%,-4.60%,45.92%,-17.50%,30.58%,12.52%,46.35%,-24.73%,40.14%,-29.06%,39.71%,-17.93%
Free Cash Flow Per Share,-1.46,1.65,-0.17,2.09,-0.64,1.08,0.42,0.71,-0.30,0.51,-,-,-
