Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Net Income,6.1,7.17,6.98,6.33,6.02,6.18,5.93,5.52,4.85,4.1,3.55,3.12,3.03,3.39,3.72,2.81,0.23,3.79,3.7,3.64,3.58,1.71,3.18,3.04,3.09,3.02,3.03,3.02,2.77,2.74,3,2.77,2.5
Depreciation & Amortization,0.32,0.5,0.61,0.48,0.47,0.5,0.48,0.48,0.49,0.51,0.48,0.46,0.44,0.44,0.41,0.27,0.16,0.16,0.16,0.16,0.16,0.22,0.2,0.2,0.21,0.23,0.23,0.23,0.25,0.27,0.24,0.28,0.28
Share-Based Compensation,0.16,-0.08,0,0.02,0.11,0.09,0.03,0.11,0.04,0.1,0.04,0.11,0.07,0.17,0.07,0.19,0.08,0.31,0.11,0.2,0.08,0.09,0.09,0.1,0.21,0.11,0.12,0.22,0.1,0,0,0,0
Other Operating Activities,0.61,0.04,0.12,-2.79,-1.96,-0.82,-3.82,-8.95,1.79,1.2,-0.23,0.51,0.61,-5.36,-2.49,9.16,3.83,-0.04,0.24,-0.03,0.81,1.53,0.67,-2.21,0.5,-1.34,-0.32,-0.1,2.01,-0.56,-1.38,0.14,0.53
Operating Cash Flow,7.19,7.63,7.7,4.03,4.64,5.95,2.61,-2.83,7.17,5.91,3.83,4.2,4.15,-1.36,1.7,12.42,4.3,4.22,4.21,3.96,4.63,3.54,4.13,1.13,4,2.02,3.06,3.38,5.12,2.45,1.86,3.19,3.31
Operating Cash Flow Growth,54.97%,28.12%,194.72%,-,-35.32%,0.69%,-31.87%,-,72.75%,-,125.26%,-66.19%,-3.49%,-,-59.56%,213.53%,-7.11%,19.30%,1.81%,250.62%,15.61%,75.24%,34.97%,-66.53%,-21.84%,-17.59%,64.68%,5.83%,54.77%,-,-,-,-
Capital Expenditures,0,-0.07,-0.06,-0.23,-0.25,-3.17,-0.08,-0.24,-0.2,-0.13,-0.53,-0.83,-1.61,0,-1.33,-4.1,-0.53,-0.75,-0.14,-0.06,-0.01,0,-0.05,-0.08,-0.04,0,0,0,-0.01,-0.48,-0.05,-0.03,-0.08
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,-0.65,-1.41,-2.81,-4.3,-7.22,-14.73,-26.59,-4.48,-11.18,-8.48,-49.23,-6.2,-31.36,-25.87,-34.64,-10.12,-4.52,-4.35,-4.16,-6.21,-12.58,-9.55,-11.35,-15.54,-9.57,-14.59,-6.7,-10.58,-9.42,-,-,-,-
Other Investing Activities,0.61,10.28,22.79,9.13,-52.31,15.8,59.03,68.93,-79.53,-12.64,60.63,-135.62,45.76,-13,-4.13,161.17,-32.48,-16.3,16.08,-58.1,-22.03,-18.92,-52.95,10.38,-5.24,-16.81,5.06,43.84,-13.88,-8.93,-19.23,-31.54,-1.05
