Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.26,-0.57,0.14,-0.7,-0.56,0
Other Operating Activities,-1.53,0.29,-0.17,0.59,-0.43,-
Operating Cash Flow,-1.26,-0.28,-0.03,-0.11,-0.99,0
Change in Investments,0.8,0.07,0,0,-303,0
Investing Cash Flow,0.8,0.07,0,0,-303,0
Share Issuance / Repurchase,0,0,0,0,294.18,0
Debt Issued / Paid,0,0,0,-0.19,-0.03,0.03
Other Financing Activities,0.02,-,-,-,11.29,-
Financing Cash Flow,0.02,0,0,-0.19,305.45,0.03
Net Cash Flow,-0.44,-0.21,-0.03,-0.31,1.46,0.03
Free Cash Flow,-1.26,-0.28,-0.03,-0.11,-0.99,0
Free Cash Flow Per Share,-0.03,-0.01,-0.00,-0.00,-0.07,-
