Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,-0.1,0.22,-0.01,-0.06,-0.3
Other Operating Activities,0.09,-0.44,-0.08,-0.3,0.06
Operating Cash Flow,-0,-0.21,-0.09,-0.36,-0.24
Change in Investments,0,0,0,0,-116.73
Investing Cash Flow,0,0,0,0,-116.73
Share Issuance / Repurchase,0,0,0,0,118.03
Debt Issued / Paid,0,0,0,0,-0.02
Other Financing Activities,-,-,-,-,-0.33
Financing Cash Flow,0,0,0,0,117.68
Net Cash Flow,-0,-0.21,-0.09,-0.36,0.72
Free Cash Flow,-0,-0.21,-0.09,-0.36,-0.24
Free Cash Flow Per Share,-0.00,-0.06,-0.03,-0.12,-0.08
