Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.01,0.09,-0.12,0.08,-0.51,-0.32,-0.01
Other Operating Activities,-0.23,-0.37,-0.26,-0.09,0.35,-0.21,0.01
Operating Cash Flow,-0.22,-0.27,-0.38,-0.01,-0.15,-0.53,-0
Change in Investments,124.71,0,0,0,0,0,0
Investing Cash Flow,124.71,0,0,0,0,0,0
Share Issuance / Repurchase,-125.59,0,0,0,-2.77,145.07,0
Debt Issued / Paid,1.38,1.38,0,0,-0.01,-0.17,0.13
Other Financing Activities,-,-,-,-,2.77,-3.16,-0.13
Financing Cash Flow,-124.2,1.38,0,0,-0.01,141.74,-0
Net Cash Flow,0.29,-0.27,-0.38,-0.01,-0.16,0.82,-0
Free Cash Flow,-0.22,-0.27,-0.38,-0.01,-0.15,-0.53,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.00,-0.01,-0.04,-
