Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,1.48,0.29,0.14,-0.4,-0.18,-0.21,-0.27,-0.09
Other Operating Activities,-1.54,-0.37,-0.3,0.16,0.1,0.08,-0.55,0.09
Operating Cash Flow,-0.06,-0.09,-0.17,-0.24,-0.07,-0.13,-0.82,0
Change in Investments,0,0,0,0,0,0,-210.38,-4
Investing Cash Flow,0,0,0,0,0,0,-210.38,-4
Share Issuance / Repurchase,0,0,0,0,0,0,214.66,6
Debt Issued / Paid,0,0,0,0,0,0,-0.08,0
Other Financing Activities,-,-,-,-0.09,-,-,-4.2,-
Financing Cash Flow,0,0,0,-0.09,0,0,210.38,6
Net Cash Flow,-0.06,-0.09,-0.17,-0.33,-0.07,-0.13,-0.81,2
Free Cash Flow,-0.06,-0.09,-0.17,-0.24,-0.07,-0.13,-0.82,0
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-0.00,-0.01,-0.03,-
