Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Net Income,13.67,23.59,43.2,182.06,40.84,29.11,27.19,9.37,-47.08,-26.66,-34.33,-78.47,-48.09,0.23,-0.38,-10.66,-19.94,-13.46,-22.8,-60.86,-31.18,-92.01,-6.53,-25.45,-29.84,-32.27,-36.49,-81.35,4.14,4.57,0.95,-4.14,-6.37,-9.04,-7.37,-9.19,-7.3,2.86,2.71,1.7
Depreciation & Amortization,12.35,11.55,10.68,10.56,11.04,10.46,10.55,11.51,11.77,9.98,13.14,17.19,13.73,18.12,13.88,14.3,15.86,14.84,15.65,12.58,11.7,13.8,11.31,10.85,10.25,8.51,7.63,7.09,6.66,6.05,5.77,5.06,4.69,3.64,3.16,2.46,1.01,0.76,0.41,-
Share-Based Compensation,11.89,16.15,16.74,17.77,15.69,17.44,16.81,17.71,14.8,14.08,15.12,14.2,18.13,16.74,18.1,20.55,18.25,17.72,19.77,19.8,17.8,16.29,16.11,19.09,19.5,22.75,17.97,13.55,14.98,13.66,13.48,12.49,11.59,11.26,10.54,8.32,7.03,3.15,1.87,-
Other Operating Activities,76.58,-17.95,39.64,-19.11,-26.9,64.57,31.12,45.4,-30.85,55.68,425.39,209.16,-200.22,-145.05,-238.48,-144.25,152.09,-396.67,-62.29,-197.7,15.38,-350.65,-151.06,-18.01,-17.03,9.3,4.34,49.58,-15.83,-2.9,11.38,1.87,-3.42,8.66,6.94,0.46,19.35,-21.82,4.67,-1.7
Operating Cash Flow,114.49,33.35,110.26,191.28,40.67,121.58,85.67,83.99,-51.37,53.07,419.32,162.08,-216.45,-109.96,-206.89,-120.06,166.26,-377.58,-49.67,-226.19,13.7,-412.56,-130.18,-13.53,-17.12,8.29,-6.56,-11.13,9.94,21.39,31.58,15.28,6.5,14.53,13.26,2.04,20.09,-15.06,9.67,-
Operating Cash Flow Growth,181.49%,-72.57%,28.71%,127.75%,-,129.08%,-79.57%,-48.18%,-,-,-,-,-,-,-,-,1113.69%,-,-,-,-,-,-,-,-,-61.24%,-,-,53.06%,47.27%,138.17%,647.82%,-67.68%,-,37.10%,-,-,-,-,-
Capital Expenditures,-16.4,-14.82,-17.3,-15.78,-21.58,-9.98,-9.45,-8.62,-6.37,-6.56,-5,-8.15,-11.44,-11.69,-11.36,-11.68,-15.94,-15.1,-12.51,-11.77,-13.61,-12.86,-12.03,-11.81,-7.91,-12.8,-12.14,-16.42,-10.48,-13.52,-9.92,-9.71,-6.24,-5.58,-5.61,-4.38,-5.01,-2.7,-3.78,-
Acquisitions,0,0,0,0,0,0,0,0,522.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,-10,0,0,0,0,0,0,-109.46,0,0,0,-
Change in Investments,-313.35,"-1,101.24",-693.91,-605.06,-335.68,-355.79,-170.07,-170.7,-233.58,121.64,140.07,180.07,154.73,175.41,154.61,196.82,177.04,233.26,216.82,236.6,243.29,446.99,228.53,198.68,168.99,-40.91,-49.98,128.61,-311.76,-550.75,-445.1,-857.53,-479.98,-304.47,-241.28,-242.79,-305.53,-330.94,-295.36,-
Other Investing Activities,-6.67,1.28,-1.68,-1.06,-2.97,-13.23,-0.99,-3.5,4.96,0.1,0.1,0.1,0.1,0.37,-0.05,0.25,-0,0.24,-,1.51,-,-,-,-,-,58.72,-11.85,-23.12,-23.75,78.48,-102.48,-17.49,7.52,-21.54,-4.77,-2.9,-3.76,-4.64,0.2,-
