Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Net Income,0.45,-0.08,-0.41,-0.18,-0
Other Operating Activities,-0.86,-0.17,0.29,-0.33,0
Operating Cash Flow,-0.41,-0.25,-0.12,-0.52,-0
Share Issuance / Repurchase,0,0,0,78.75,0
Debt Issued / Paid,0.05,0.3,0.18,-0.22,0.01
Other Financing Activities,-,-,-,2.21,-
Financing Cash Flow,0.05,0.3,0.18,80.74,0.01
Net Cash Flow,-0.36,0.05,0.06,0.29,0
Free Cash Flow,-0.41,-0.25,-0.12,-0.52,-0
Free Cash Flow Per Share,-0.04,-0.04,-0.01,-0.07,-
