Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Net Income,8.32,1.59,2.06,-1.13,-11.82,0.08,-53.32,-362.34,39.41,-49.71,-8.62,-12.44,-
Depreciation & Amortization,77.89,74.14,68.3,66.57,63.19,47.92,47.12,20.21,1.28,-0.02,0.23,-,-
Share-Based Compensation,73.28,111.47,108.08,104.69,96.6,31.02,15.72,"1,158.6",0,-12.3,12.3,-,-
Other Operating Activities,-38.48,88.85,28.46,-17.84,-54.77,75.27,99.53,-798.73,-40.11,84.81,2.4,12.44,-
Operating Cash Flow,121.01,276.05,206.9,152.29,93.2,154.29,109.05,17.73,0.59,22.79,6.31,-,-
Operating Cash Flow Growth,29.83%,78.92%,89.73%,758.79%,15778.02%,577.09%,1628.21%,-,-,-,-,-,-
Capital Expenditures,-5.67,-23.9,-13.8,-9.46,-18.38,-3.22,-1.51,-0.24,-0.3,-0.32,-0.29,-,-
Acquisitions,0,0,0,-114.45,0,-605.41,0,-973.46,0,0,0,-,-
Change in Investments,-28.69,-115.44,-156.97,-28.59,-4.23,283.86,-295.16,-3.45,0,0,0,-,-
Investing Cash Flow,-34.36,-139.34,-170.76,-152.5,-22.61,-324.76,-296.67,-977.15,-0.3,-0.32,-0.29,-,-
Dividends Paid,-57.92,-52.64,-48.63,-40.78,-40.51,-33.98,-13.1,0,0,0,0,-,-
Share Issuance / Repurchase,0,-44.82,-9.58,0,-24.24,0,0,"1,738.6",0,2.19,7.07,-,-
Debt Issued / Paid,140,98.05,112,-3.68,237.21,486.16,-0.2,305.48,3.15,32.43,-7.15,-,-
Other Financing Activities,-198.89,-108.76,-99.11,-92.56,-99.68,-378.02,-96.24,-657.2,-6.51,-52.73,-5.21,-,-
Financing Cash Flow,-116.82,-108.17,-45.33,-137.01,72.79,74.17,-109.54,"1,386.88",-3.36,-18.11,-5.29,-,-
Net Cash Flow,-30.17,28.55,-9.2,-137.22,143.39,-96.31,-297.16,427.47,-3.07,4.35,0.74,-,-
Free Cash Flow,115.34,252.15,193.1,142.83,74.83,151.07,107.54,17.5,0.29,22.46,6.02,-,-
Free Cash Flow Growth,54.14%,66.91%,79.56%,716.40%,25525.00%,572.53%,1685.19%,-,-,-,-,-,-
Free Cash Flow Margin,29.50%,63.75%,52.05%,43.65%,27.11%,52.36%,43.38%,9.76%,0.27%,21.19%,11.15%,-,-
Free Cash Flow Per Share,0.25,0.56,0.44,0.34,0.18,0.36,0.32,0.05,0.01,0.67,0.88,-,-
