Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,28.14,46.02,18.12,43.08,-104.65,19.03,65.25,85.58,105.28,50.15,25.19,-65.76,60.98,177.34,160.8,135.52,188.06,234.85,241.25,196.75,175.81,114.36
Depreciation & Amortization,0.44,-,-,-,0.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Share-Based Compensation,1.44,-,-,-,4.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Operating Activities,-74.55,-46.02,-18.12,-43.08,116.51,-19.03,-65.25,-85.58,-105.28,-50.15,-25.19,65.76,-60.98,-177.34,-160.8,-135.52,-188.06,-234.85,-241.25,-196.75,-175.81,-114.36
Operating Cash Flow,-44.52,-,-,-,17.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-88.29,-,-,-,-1.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acquisitions,50,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Change in Investments,219.96,-,-,-,812.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,181.67,-,-,-,810.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Share Issuance / Repurchase,-19.54,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Debt Issued / Paid,233.92,-,-,-,-560.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Financing Activities,50.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,265.13,-,-,-,-560.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Flow,402.27,-,-,-,268.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow,-132.82,-,-,-,16.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-116.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-1.94,-,-,-,0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
