Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Net Income,0.4,1.79,42.87,97.04,34.51,30.15,33.84,63.58,39.43,29.59,33.78,3.78,-7.6,6.83,3.9,4.94,2.37,10.49,14.25,14.25,12.45,71.73,12.86,9.8,6.11,5.48,3.48,0.12,4.69,5.72,2.9,3.94,8.07,2.45,0.64,6.66,-
Depreciation & Amortization,5.19,5.15,5.07,5.15,5.41,5.47,5.33,5.3,5.27,5.14,5.35,5.57,5.62,5.66,5.2,5.07,4.03,4.38,4.19,4.04,3.79,3.26,2.96,2.35,1.71,1.06,1.09,1.04,1.07,1.52,0.9,0.59,0.43,0.55,0.63,-,-
Share-Based Compensation,5.76,4.93,4.81,5.07,6.07,4.56,4.17,7.4,10.17,27.42,3.21,3.28,2.87,2.97,2.96,2.85,2.85,2.11,2.58,2.23,2.36,1.73,2.21,1.89,2.68,4.43,4.06,2.92,0.66,0.62,0.5,0.19,0.13,0.16,0.01,-,-
Other Operating Activities,147.1,14.29,-32.1,-186.02,110.45,-25.69,-58.51,-158.49,-91.68,-39.24,-256.17,8.76,-92.36,-143.06,-114.07,-157.97,-117.04,-154.65,134.74,3.8,-54.71,-108.02,-91.79,-88.82,-118.19,-58.46,-12.68,-80.62,-100.3,-76.71,-91.77,-133.08,-58.61,-111.58,-62.26,-6.66,-
Operating Cash Flow,158.46,26.16,20.66,-78.77,156.44,14.49,-15.18,-82.21,-36.82,22.91,-213.83,21.39,-91.46,-127.59,-102.02,-145.12,-107.79,-137.67,155.75,24.32,-36.1,-31.3,-73.75,-74.78,-107.7,-47.49,-4.05,-76.53,-93.89,-68.86,-87.48,-128.37,-49.97,-108.42,-60.98,-,-
Operating Cash Flow Growth,1.29%,80.51%,-,-,-,-36.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-10.41,-8.12,-7.4,-8.19,-20.04,-1.42,-0.43,-0.56,8.4,-10.61,-0.11,-0.46,-0.74,-7.19,-2.18,-14.51,-2.42,-23.49,-25.75,-19.53,-41.69,-52.72,-7.94,-25.82,-37.66,-9.7,-0.76,-0.18,-0.25,-1.16,-6.23,-19.79,-3.28,-3.04,-0.5,-,-
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,-0.9,0,0,0,0,0,0,-0.21,0,0,0,-0.01,-0.1,-7.58,0,0,0,0,0,0,0,9.9,0,-6.36,-,-
Change in Investments,-582.45,-532.41,-439.09,-195.42,-233.5,-196.69,62.79,136.32,-165,-83.78,-359.61,"-1,989.38",-179.16,-97.59,-127.77,-134.81,-298.9,-114.75,-106.62,-134.98,-378.88,-129.36,-82.87,-104.57,-87.89,-142.23,-77.28,-99.33,8.44,14.77,-18.19,57.26,25.77,22.67,-29.74,-,-
Other Investing Activities,-,1.41,0.1,-,0.33,0.24,3.4,2.99,0.15,1,2.26,1.41,0.61,0.07,0.33,-,0.39,0.14,0.18,0.21,-,1.45,0.05,-,-,0.54,0.59,0.04,0.05,-0,0.18,-,0.33,-,-,-,-
Investing Cash Flow,-592.85,-539.13,-446.39,-203.62,-253.21,-197.86,65.76,138.75,-156.45,-93.39,-357.47,"-1,989.32",-179.28,-104.71,-129.62,-149.32,-300.93,-138.1,-132.4,-154.3,-420.56,-180.63,-90.77,-130.49,-133.13,-151.39,-77.45,-99.48,8.24,13.62,-24.23,37.47,32.72,19.63,-36.6,-,-
Dividends Paid,-1.33,-1.32,-1.32,-1.32,-1.31,-1.31,-1.3,-1.3,-1.28,-1.26,-1.22,-1.22,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.2,-1.2,-1.2,-1.2,-1.2,-0.69,-0.69,-0.69,-0.68,-0.34,-1.03,-0.51,0,-0.86,-1.36,-5.57,-30.19,-,-
Share Issuance / Repurchase,0,0,0,0,0,-0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1,0,0,0,0,0,0,0,87.17,0,0,0.4,74.63,-,-
Debt Issued / Paid,-52.44,47.59,-50.59,-110.7,-121.38,-252.74,-437.41,-452.03,-81.63,-204.99,26.05,"1,671.02",50,-1.29,-0.05,-0.05,-0.05,-0.05,-1.88,-0.1,-23.08,-0.31,-35.3,21.6,12.73,-0.23,-0.1,-0.1,-0.1,-13.7,-12.41,4.28,2.26,5.75,21.3,-,-
Other Financing Activities,534.71,479.97,248.83,518.82,523.48,295.09,296.34,200.07,593.4,-39.69,-166.94,"1,233.98",412.86,209.92,298.56,187.95,379.01,227.77,-44.65,-3.73,713.62,247.8,141.46,232.85,149.67,82.31,262.26,125.39,210.73,42.18,35.34,171.4,34.02,79.47,16.08,-,-
Financing Cash Flow,480.95,526.24,196.92,406.8,400.79,40.09,-142.37,-253.26,510.49,-245.95,-142.1,"2,903.78",461.65,207.42,297.3,186.7,377.76,226.52,-47.73,-5.03,689.35,246.29,218.06,253.76,161.7,81.4,261.48,124.95,209.6,27.97,110.1,174.82,34.92,80.06,81.81,-,-
Net Cash Flow,46.55,13.27,-228.82,124.42,304.02,-143.28,-91.79,-196.72,317.22,-316.43,-713.4,935.84,190.91,-24.88,65.66,-107.74,-30.96,-49.25,-24.38,-135.01,232.68,34.36,53.53,48.49,-79.12,-117.48,179.98,-51.05,123.95,-27.27,-1.61,83.92,17.66,-8.74,-15.77,-,-
Free Cash Flow,148.05,18.04,13.26,-86.96,136.4,13.07,-15.61,-82.77,-28.42,12.3,-213.94,20.93,-92.2,-134.79,-104.2,-159.63,-110.21,-161.16,130.01,4.79,-77.79,-84.02,-81.69,-100.6,-145.36,-57.18,-4.81,-76.71,-94.14,-70.02,-93.71,-148.16,-53.25,-111.47,-61.48,-,-
Free Cash Flow Growth,8.54%,37.97%,-,-,-,6.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,179.29%,21.14%,10.40%,-42.80%,125.59%,12.16%,-15.82%,-61.89%,-27.90%,19.07%,-242.75%,39.22%,-270.29%,-252.75%,-212.66%,-353.37%,-269.52%,-402.53%,248.59%,8.61%,-153.01%,-73.47%,-187.11%,-231.25%,-364.35%,-163.97%,-14.46%,-297.18%,-316.87%,-223.19%,-404.10%,-629.98%,-189.97%,-582.52%,-309.17%,-,-
Free Cash Flow Per Share,3.35,0.41,0.30,-1.99,3.12,0.30,-0.36,-1.92,-0.67,0.30,-5.28,0.52,-2.29,-3.35,-2.59,-3.97,-2.74,-4.01,3.24,0.12,-1.95,-2.11,-2.36,-2.91,-4.20,-1.67,-0.14,-2.24,-2.75,-2.05,-2.74,-4.54,-1.63,-3.41,-,-,-
