Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Net Income,-14.13,-48.49,-24.79,8.64,22.87,-22.65,-13.21,-10.09,15.31,-10.31,-3.27,-3.59,1.47,-8.65,0,0,0,-4.18,0.05
Depreciation & Amortization,24.51,23.14,24.4,20.28,18.55,15.71,13.35,11.32,11.13,6.27,5.44,4.69,3.76,3.3,3.27,2.98,1,0.91,0.85
Share-Based Compensation,13.28,21.32,8.39,10.11,7.56,7.27,3.83,4.55,3.54,2.39,2.24,1.98,1.14,3.69,0.47,0.3,0.15,0.49,0.44
Other Operating Activities,-37.69,18.22,-20,-40.24,-52.42,12.75,-26.35,40.37,-26.69,7.69,-17.29,35.59,-1.4,-0.89,1.97,0.71,3.71,4.59,0.78
Operating Cash Flow,-14.03,14.19,-12.01,-1.21,-3.43,13.09,-22.38,46.13,3.29,6.05,-12.87,38.67,4.97,-2.56,5.71,4,4.87,1.82,2.12
Operating Cash Flow Growth,-,8.43%,-,-,-,116.47%,-,19.29%,-33.88%,-,-,867.55%,2.18%,-,169.21%,-,-,-,-
Capital Expenditures,-3.5,-6.58,-6.84,-6.77,-1.79,-2.13,-1.43,-0.76,-1,-1.33,-1.52,-2.04,-0.58,-0.25,-0.69,-0.36,-0.42,-0.16,-0.23
Acquisitions,-1.6,-0.31,-10.74,-379.99,-1.34,-452.76,-194.54,-8.49,-17.36,-441.24,-6.29,-185.5,-39.31,1.06,-23.6,-40.99,-35.77,-0.77,-10.71
Investing Cash Flow,-5.1,-6.89,-17.57,-386.76,-3.13,-454.89,-195.97,-9.25,-18.36,-442.58,-7.81,-187.54,-39.89,0.8,-24.28,-41.35,-36.19,-0.93,-10.94
Share Issuance / Repurchase,0,0,0,0,0,0,268.32,0,0,315.77,-0.03,133.97,0,246.21,0,-0.74,-11.76,0.14,0.16
Debt Issued / Paid,-22.13,-24.2,-0.31,447.5,36.69,254.71,98.69,117.34,-1.06,283.01,-125.26,163.95,19.77,-153.98,23.6,45.95,48.56,1.42,10.24
Other Financing Activities,-2.4,-3.25,-3.42,-19.5,-13.95,-6.6,-3.21,-0.79,-3.35,-78.22,-0.47,-0.58,0.04,-36.92,-3.34,-2.82,-2.68,-2.05,-3.45
Financing Cash Flow,-24.52,-27.45,-3.73,427.99,22.74,248.1,363.81,116.55,-4.4,520.55,-125.76,297.34,19.81,55.31,20.26,42.39,34.12,-0.5,6.95
Net Cash Flow,-43.65,-20.15,-33.31,40.02,16.17,-193.7,145.45,153.44,-19.48,84.02,-146.44,148.47,-15.11,53.56,1.68,5.04,2.8,0.39,-1.86
Free Cash Flow,-17.53,7.61,-18.85,-7.98,-5.23,10.96,-23.81,45.38,2.29,4.71,-14.39,36.64,4.39,-2.81,5.02,3.63,4.45,1.66,1.89
Free Cash Flow Growth,-,-30.52%,-,-,-,132.49%,-,23.85%,-47.88%,-,-,908.45%,-1.37%,-,165.03%,-,-,-,-
Free Cash Flow Margin,-5.30%,3.09%,-7.27%,-3.43%,-2.15%,6.88%,-17.56%,37.91%,1.50%,6.77%,-21.85%,71.46%,8.10%,-7.68%,13.08%,10.99%,14.91%,7.94%,10.22%
Free Cash Flow Per Share,-0.30,0.13,-0.33,-0.14,-0.09,0.20,-0.51,1.02,0.05,0.17,-0.43,1.79,0.23,-0.16,0.08,0.06,0.07,0.03,-
