Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Net Income,1.15,1.15,1.2,3.1
Other Operating Activities,-1.2,-1.29,-1.36,-3.84
Operating Cash Flow,-0.05,-0.13,-0.16,-0.75
Change in Investments,-408.04,0,408.04,-204.02
Other Investing Activities,408.04,-,-408.04,-
Investing Cash Flow,0,0,0,-204.02
Share Issuance / Repurchase,0,0,0,202
Debt Issued / Paid,0,0,0,-0.24
Other Financing Activities,-0.01,-,-0.04,3.54
Financing Cash Flow,-0.01,0,-0.04,205.3
Net Cash Flow,-0.07,-0.13,-0.2,0.53
Free Cash Flow,-0.05,-0.13,-0.16,-0.75
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.04
