Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,36.87,111.22,56.82,94.16,32.44,51.79,25.12,31.38,0.17,1.13,1.18
Depreciation & Amortization,33.85,49.31,25.79,30.22,16.13,48.86,15.79,28.82,1.19,0,0
Share-Based Compensation,1.06,0,0,0,0,0,0,0,0,0,0
Other Operating Activities,9.7,6.21,0.94,-29.2,7.5,-11.37,-5.37,-5.13,-0.07,-1.68,-1.19
Operating Cash Flow,81.47,166.73,83.54,95.18,56.06,89.28,35.55,55.06,1.29,-0.56,-0.01
Operating Cash Flow Growth,45.32%,86.74%,134.99%,72.86%,4250.75%,-,-,-,-,-,-
Capital Expenditures,-129.93,-78.22,-65.22,-85.99,-44.61,-62.76,-37.85,-88.51,-0.72,0,0
Acquisitions,0,-1.69,0.22,0.75,0.75,1.52,0,2.3,0,0,0
Change in Investments,0,0,0,0,0,0,0,0,0,0,-414
Investing Cash Flow,-129.93,-79.91,-65,-85.24,-43.86,-61.24,-37.85,-86.21,-0.72,0,-414
Dividends Paid,-14.64,-10.66,0,0,0,-51.09,0,0,0,0,0
Share Issuance / Repurchase,-1.77,6.61,0,0,0,0,0,0,0,0,420.14
Debt Issued / Paid,25,-21.1,-35,5.4,-4.4,-11.4,0,25,-1,0,-0.17
Other Financing Activities,-0.04,-21.78,0,0.08,0.08,26.91,0,20.07,-,-0,-4.52
Financing Cash Flow,8.55,-46.93,-35,5.48,-4.32,-35.59,0,45.07,-1,-0,415.45
Net Cash Flow,-39.9,39.89,-16.46,15.43,7.89,-7.54,-2.3,13.92,-0.43,-0.56,1.45
Free Cash Flow,-48.45,88.51,18.32,9.19,11.46,26.52,-2.31,-33.45,0.57,-0.56,-0.01
Free Cash Flow Growth,-,233.72%,-,-,1913.76%,-,-,-,-,-,-
Free Cash Flow Margin,-53.06%,37.80%,20.31%,5.37%,12.21%,17.97%,-4.14%,-39.83%,19.40%,-,-
Free Cash Flow Per Share,-0.36,0.67,0.14,0.21,0.09,0.20,-0.05,-0.75,0.01,-0.02,-0.00
