Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Net Income,66.82,79.59,69.02,59.36,57.72,57.02,64.28,86.74,57.69,61.74,65.1,20.05,38.87,67.84,74.2,72.43,69.92,60,67.39,69.05,67.96,11.68,58.36,56.9,56.74,56.55,53.24,54.86,65.53,50.21,54.89,54.56
Depreciation & Amortization,10.83,12.61,13.27,15.29,15.58,10.01,14.27,13.92,13.64,13.47,15.54,16.94,17.12,17.85,17.02,18.37,14.59,13.01,14.34,14.34,13.22,15.75,16.05,15.86,14.36,12.39,15.29,18.93,5.56,-7.44,17.85,-
Share-Based Compensation,2.32,2.58,1.97,2.61,3.14,2.95,3.38,3.74,3.04,1.85,2.58,2.79,2.8,3.12,1.16,1.96,1.59,1.3,1.56,1.58,1.75,1.12,1.18,1.37,1.62,2.45,2.06,0,0,0,0,-
Other Operating Activities,2.67,14.25,71.59,22.22,-10.17,50.49,-33.47,-10.41,79.83,31.5,-90.84,120.62,-110.64,36.63,-65.55,-11.92,-22.7,11.6,2.18,41.86,-29.71,26.72,-19.99,19.75,-7.7,-30.54,-31.19,13.89,-18.94,-55.16,62.37,-54.56
Operating Cash Flow,82.63,109.02,155.85,99.48,66.26,120.47,48.46,94,154.2,108.57,-7.62,160.4,-51.85,125.44,26.82,80.84,63.4,85.9,85.47,126.83,53.22,55.27,55.61,93.87,65.02,40.86,39.4,87.68,52.16,-12.38,135.11,-
Operating Cash Flow Growth,24.71%,-9.50%,221.62%,5.84%,-57.03%,10.96%,-,-41.40%,-,-13.45%,-,98.42%,-,46.02%,-68.61%,-36.26%,19.14%,55.42%,53.70%,35.11%,-18.16%,35.29%,41.13%,7.06%,24.67%,-,-70.84%,-,-,-,-,-
Capital Expenditures,-1.56,14.76,-4.78,-3.27,-2.7,-5.12,-3.02,-4.5,-3.79,-5.67,-7.07,-6.1,-14.54,-6.98,-6.1,-6.7,-9.57,-22.39,-3.74,-6.31,-3.45,0.18,1.89,-2.97,-1.02,-4.35,-2.6,-4.28,-4.23,-2.64,-3.09,-
Change in Investments,23.35,-183.92,-189.27,-477.43,-113.81,-701.58,-783.28,-95.32,-787.6,-178.13,-326.49,"-1,459.64",-109.39,-289.01,665.61,69.65,-49.37,-357.03,232.19,12.99,-102.02,-118.75,-282.99,-123.64,-446.21,31.59,-987.31,-952.32,16.37,360.35,40.7,-
Other Investing Activities,3.32,-1.51,-1.43,-1.74,-,3.7,1,4.38,-1.17,3.36,0.03,0.02,-0.13,4.1,2.46,-0.06,1.19,-0.72,0.43,-0.73,-7.04,-0.22,-0.29,-0.5,3.44,4.62,4.74,0.68,0.41,-0.08,0.1,-
Investing Cash Flow,25.11,-170.67,-195.47,-482.45,-116.51,-703,-785.3,-95.45,-792.56,-180.45,-333.54,"-1,465.72",-124.06,-291.9,661.97,62.9,-57.75,-380.13,228.87,5.96,-112.51,-118.79,-281.4,-127.1,-443.79,31.86,-985.17,-955.92,12.55,357.64,37.7,-
Dividends Paid,-33.11,-33.11,-33.11,-33.21,-33.15,-33.24,-33.44,-33.64,-33.81,-33.78,-33.78,-33.77,-33.78,-33.85,-34.41,-34.92,-35.07,-32.37,-32.37,-32.79,-33.5,-32.83,-30.7,-30.7,-30.7,-25.48,-27.89,-35.95,-357.67,-51.55,-38.18,-
Share Issuance / Repurchase,0,0.16,-2.25,-7,0,-20.96,-21.57,-22.39,-9.54,0.31,0,0,-5,-37.43,-58.81,-40,0,0,-50,-81.8,0.34,0,0,0,0.53,0,0,0,0,0,0,-
Debt Issued / Paid,675,75,0,0,0,-200,-0.01,0,0,0,-200.01,-200,0,0,-0.01,0,0,170,229.99,200,0,0,-0.01,0,-9.15,0,-25.81,-180.5,-0.7,-88,-140.31,-
Other Financing Activities,-410.66,-402.7,-509.75,330.69,451.09,-303.88,"1,284.65",700.96,903.59,329.96,-463.96,"2,341.48",573.5,-412.25,64.94,-3.17,-356.35,460.74,-706.27,33.12,-249.7,16.62,143.1,514.08,143.65,-171,843.28,67.65,-7.47,579.37,273.48,-
Financing Cash Flow,231.22,-360.66,-545.12,290.48,417.94,-558.08,"1,229.63",644.94,860.23,296.49,-697.74,"2,107.71",534.72,-483.54,-28.29,-78.09,-391.42,598.37,-558.65,118.52,-282.86,-16.2,112.39,483.38,104.32,-196.48,789.58,-148.8,-365.84,439.82,94.99,-
Net Cash Flow,338.97,-422.31,-584.74,-92.48,367.69,"-1,140.61",492.78,643.49,221.87,224.62,"-1,038.89",802.39,358.82,-650,660.5,65.65,-385.77,304.14,-244.31,251.31,-342.15,-79.72,-113.4,450.15,-274.45,-123.76,-156.19,"-1,017.04",-301.14,785.07,267.81,-
Free Cash Flow,81.08,123.78,151.07,96.21,63.57,115.35,45.44,89.49,150.41,102.9,-14.69,154.3,-66.39,118.45,20.72,74.14,53.83,63.52,81.72,120.52,49.77,55.45,57.49,90.9,64,36.5,36.8,83.4,47.92,-15.02,132.02,-
Free Cash Flow Growth,27.55%,7.31%,232.46%,7.51%,-57.74%,12.10%,-,-42.00%,-,-13.13%,-,108.12%,-,86.49%,-74.64%,-38.48%,8.16%,14.55%,42.15%,32.58%,-22.23%,51.91%,56.23%,9.00%,33.55%,-,-72.13%,-,-,-,-,-
Free Cash Flow Margin,39.08%,57.04%,73.54%,51.10%,35.12%,64.48%,24.34%,41.46%,86.93%,60.95%,-8.26%,130.73%,-45.25%,65.06%,10.73%,38.92%,28.87%,37.07%,44.37%,65.08%,27.28%,30.12%,32.21%,51.24%,36.38%,19.75%,21.74%,50.58%,25.21%,-8.91%,78.82%,-
Free Cash Flow Per Share,0.64,0.97,1.19,0.75,0.50,0.90,0.35,0.69,1.16,0.79,-0.11,1.19,-0.51,0.91,0.16,0.55,0.40,0.47,0.60,0.87,0.36,0.40,0.41,0.65,0.46,0.26,0.26,0.60,0.34,-0.11,0.95,-
