Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.44,0.16,-0.44,-0.29,-,-0.01,-0
Other Operating Activities,-0.7,-0.49,-0.24,-0.3,0.04,-0,0
Operating Cash Flow,-0.26,-0.33,-0.68,-0.59,0.04,-0.01,0
Share Issuance / Repurchase,0,0,0,0,112.13,0,0
Debt Issued / Paid,0,0,0,0,-0.33,0.12,0.16
Other Financing Activities,-,-,0.15,-0.15,6.72,-0.12,-0.14
Financing Cash Flow,0,0,0.15,-0.15,118.52,0,0.02
Net Cash Flow,-0.04,-0.33,-0.53,-0.74,1.84,-0,0.02
Free Cash Flow,-0.26,-0.33,-0.68,-0.59,0.04,-0.01,0
Free Cash Flow Per Share,-0.09,-0.11,-0.24,-0.20,0.02,-0.00,-
