Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,2.66,3.61,1.26,11.07,0.46,-
Other Operating Activities,-0.06,-1.88,-0.51,-11.71,-0.54,-
Operating Cash Flow,2.6,1.72,0.75,-0.64,-0.08,-
Change in Investments,-2.72,-1.94,-0.89,-0.2,-266.51,-
Investing Cash Flow,-2.72,-1.94,-0.89,-0.2,-266.51,-
Share Issuance / Repurchase,0,0,0,0,253.58,-
Debt Issued / Paid,0,0,0,0,-0.3,-
Other Financing Activities,-,-,0.03,0.34,14.75,-
Financing Cash Flow,0,0,0.03,0.34,268.02,-
Net Cash Flow,-0.12,-0.21,-0.11,-0.51,1.43,-
Free Cash Flow,2.6,1.72,0.75,-0.64,-0.08,-
Free Cash Flow Per Share,0.08,0.05,0.02,-0.02,-0.01,-
