Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
Net Income,17.22,25.59,30.11,25.34,22.22,12.35,12.25,9.99,-8.92,-9.87,8.6,-9.28,2.74,-2.74,-3.73,3.24,2.81,8.02,10.35,9.27
Depreciation & Amortization,8.43,8.01,7.96,7.71,7.47,8.08,10.65,9.73,9.47,9.3,8.67,8.75,8.41,8.32,7.52,7.61,6.9,6.8,6.57,-
Share-Based Compensation,3.82,3.78,3.92,3.03,3.14,5.56,7.98,6.68,33.43,13.8,12.92,13.93,13.19,14.11,11.64,5.23,5.23,2.31,1.52,-
Other Operating Activities,9.65,7.32,-1.66,-6.24,-7.41,9.09,9.74,12.24,-19.33,9.32,-5.29,6.85,-15.08,2.82,9.62,-11.34,-12.16,2.62,5.09,-9.27
Operating Cash Flow,39.13,44.7,40.33,29.85,25.42,35.08,40.62,38.63,14.66,22.55,24.9,20.26,9.25,22.52,25.06,4.74,2.77,19.75,23.52,-
Operating Cash Flow Growth,53.91%,27.44%,-0.70%,-22.73%,73.45%,55.56%,63.15%,90.71%,58.47%,0.14%,-0.65%,327.41%,234.02%,14.02%,6.53%,-,-,-,-,-
Capital Expenditures,-10.17,-11.57,-9.09,-9.96,-8.44,-7.98,-9.27,-9.16,-8.23,-8.03,-8.33,-6.2,-6.51,-6.17,-5.67,-5.95,-4.71,-5.51,-4.04,-
Acquisitions,-3,-43.86,0,0,0,0.08,-124.24,0,0,0,0,-0.16,-18.4,-0.12,0.12,-35.91,0,0,0,-
Change in Investments,-0.76,-1.65,-9.01,-0.5,-0.92,0.09,-0.51,-0.54,-1.21,-0.46,-0.39,-0.48,-1.01,-1.49,-0,0.29,-0.31,0,0,-
Investing Cash Flow,-13.93,-57.08,-18.1,-10.46,-9.36,-7.82,-134.02,-9.7,-9.45,-8.49,-8.72,-6.83,-25.93,-7.77,-5.56,-41.57,-5.02,-5.51,-4.04,-
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,-
Share Issuance / Repurchase,0,0,0,0,0,0,0.09,0,0,0,0.19,0,0,-0.14,124.21,0,0,0,0,-
Debt Issued / Paid,-25,-1.56,-1.56,-1.56,5.95,0,-35,75,0,-50.73,0,0,0,0,-125,-0.63,-0.63,245.11,0,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-0.16,-,-,-,-,-,-,-,-158.85,-,-
Financing Cash Flow,-25,-1.56,-1.56,-1.56,5.95,0,-34.91,75,0,-50.89,0.19,0,0,-0.14,-0.79,-0.63,-0.63,11.26,0,-
Net Cash Flow,0.19,-13.94,20.67,17.82,22.01,27.26,-128.31,103.93,5.21,-36.83,16.36,13.42,-16.68,14.61,18.71,-37.45,-2.88,25.5,19.48,-
Free Cash Flow,28.95,33.13,31.24,19.88,16.98,27.09,31.34,29.47,6.42,14.52,16.57,14.06,2.74,16.35,19.39,-1.21,-1.94,14.24,19.48,-
Free Cash Flow Growth,70.47%,22.30%,-0.32%,-32.53%,164.38%,86.57%,89.21%,109.60%,134.62%,-11.20%,-14.56%,-,-,14.83%,-0.48%,-,-,-,-,-
Free Cash Flow Margin,16.40%,20.19%,20.20%,13.15%,11.45%,18.87%,22.44%,23.01%,5.40%,13.09%,15.46%,14.18%,2.38%,14.73%,17.60%,-1.16%,-2.10%,14.62%,20.97%,-
Free Cash Flow Per Share,0.39,0.45,0.42,0.27,0.23,0.37,0.43,0.41,0.09,0.21,0.25,0.21,0.04,0.28,0.28,-0.02,-0.03,0.21,0.29,-
