Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31
Net Income,-62.65,-14.34,-18.12,-10.18,-15.31,-20.15,-1.34,35.79,2.28,0,-0.25,-3.85,-0.21,-3.01,-,-,-,-,-,-
Depreciation & Amortization,9.4,9.31,5.32,3.8,3.32,3.8,2.35,3.65,2.08,1.17,0.07,0,0,0,-,-,-,-,-,-
Share-Based Compensation,-1.67,0.62,0.59,0.46,-16.58,16.58,1.44,0,0,0.46,0,0,1.76,0,-,-,-,-,-,-
Other Operating Activities,53.48,12.63,3.61,-0.75,18.87,-3.06,-4.74,-41.97,3.24,-9.24,-0.66,3.73,-3.61,5.68,-,-,-,-,-,-
Operating Cash Flow,-1.45,8.22,-8.6,-6.66,-9.7,-2.83,-2.28,-2.54,7.61,-7.62,-0.84,-0.12,-2.05,2.67,-,-,-,-,-,-
Capital Expenditures,-0.05,0.15,-7.3,-11.05,-46.05,-0.11,0,-0.69,14.29,-7.55,-11.24,0,-0.11,0,-,-,-,-,-,-
Acquisitions,0,0,0,-0.06,0,0,0,0,0,0,0.01,0,0,0,-,-,-,-,-,-
Change in Investments,2,-20.4,11.1,7,0,-3.54,1.77,1.77,-7.93,7.38,0.55,0.01,0,0,-,-,-,-,-,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,0.11,-0.92,-,-,-,-,-,-
Investing Cash Flow,1.95,-20.25,3.8,-4.11,-46.05,-3.65,1.77,1.08,6.36,-0.17,-10.69,0.01,0,-0.92,-,-,-,-,-,-
Share Issuance / Repurchase,0,0,21.01,0,75.98,4.69,28.55,0,-14.55,7.04,12.76,0,0,0,-,-,-,-,-,-
Debt Issued / Paid,0,0,0,0,0,0,-0.01,1.28,-0.13,-0.64,0.66,0.12,0,0,-,-,-,-,-,-
Other Financing Activities,-0.08,-,-,-2.22,-4.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,-0.08,0,21.01,-2.22,71.68,4.69,28.54,1.28,-14.68,6.4,13.42,0.12,0,0,-,-,-,-,-,-
Net Cash Flow,0.42,-12.03,16.21,-12.99,15.94,-1.79,28.03,-0.18,-0.72,-1.39,1.89,0,-2.05,1.68,-,-,-,-,-,-
Free Cash Flow,-1.5,8.37,-15.9,-17.72,-55.75,-2.94,-2.28,-3.22,21.9,-15.17,-12.09,-0.12,-2.16,2.67,-,-,-,-,-,-
Free Cash Flow Margin,-19.24%,91.63%,-233.35%,-206.63%,-416.42%,-28.27%,-8.06%,-7.34%,175.71%,-191.77%,-1791.83%,-670.61%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,0.10,-0.20,-0.25,-1.01,-0.05,-0.05,-0.07,0.72,-0.36,-0.62,-0.01,-0.14,0.17,-,-,-,-,-,-
