Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Net Income,4.16,4.15,3.93,0.12,3.05,6.97,1.98,-0.22,2.85,3.08,-17.4,2.9,0.77,4.68,3.75,2.98,2.93,2.43,2.29,0.97,1.36,1.38,2.06,1.8,1.7,2.02,1.58,1.94,2.05,1.76,2.13,2.24,2.3,1.74,0.74,0.74,1.08,1.22,1.14
Depreciation & Amortization,0.71,0.71,0.72,0.65,0.64,0.63,0.55,0.69,0.56,0.76,0.42,1.22,0.94,1,0.9,0.92,0.91,0.78,0.92,0.88,0.46,0.63,0.56,0.63,0.67,1.04,0.54,0.75,0.76,0.63,0.72,0.6,0.62,0.34,0.14,0.16,0.12,0.15,0.17
Share-Based Compensation,0.17,0.18,0.15,0.15,0.13,0.15,0.17,0.13,0.12,0.13,0.11,0.11,0.15,0.09,0.08,0.08,0.08,0.12,0.12,0.12,0.12,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.02,0,0,0,0,0,0,0,0,0
Other Operating Activities,2.19,0.07,-1,1.18,-0.65,2.74,-2.16,-3.04,0.94,0.91,19.38,-1.14,1.73,-0.6,0.18,2.56,-2.65,3.3,-0.11,0.68,-0.8,0.09,0.09,0.25,1.37,-0.77,-0.45,0.85,-0.09,-0.09,0.38,40.14,0.13,-7.63,0.36,0.32,-0.5,0.85,0.91
Operating Cash Flow,7.23,5.1,3.79,2.1,3.17,10.48,0.55,-2.44,4.47,4.88,2.52,3.09,3.59,5.17,4.9,6.54,1.26,6.63,3.22,2.66,1.15,2.2,2.8,2.77,3.83,2.39,1.76,3.62,2.8,2.31,3.23,42.98,3.05,-5.55,1.24,1.22,0.7,2.22,2.22
Operating Cash Flow Growth,128.47%,-51.31%,589.09%,-,-29.18%,114.74%,-78.13%,-,24.48%,-5.54%,-48.72%,-52.70%,184.47%,-22.14%,52.25%,146.29%,9.93%,201.96%,14.99%,-4.22%,-70.05%,-8.04%,59.51%,-23.51%,36.80%,3.38%,-45.58%,-91.57%,-8.13%,-,160.87%,3434.13%,338.85%,-,-44.15%,-,-,-,-
Capital Expenditures,-0.17,-0.04,0.27,-0.08,-0.19,0.74,-0.04,-2.04,-0.2,-0.14,-0.09,-0.06,-0.02,0.02,-0.01,-0.05,0,0.1,-0.79,-1.85,-1.89,-0.4,-0.29,-1.49,-1.66,-1.31,-0.95,-0.18,-0.11,-0.24,-0.13,-0.06,-0.17,-6.07,-0.24,-0.06,-0.13,-0.11,-0.04
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,-0.9,0,20.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,-12.28,-2.5,-7.04,-0.48,-18.26,-14.4,-11.14,-36.99,3.93,23.78,-25.18,-43.11,7.9,-1.79,20.66,-35.83,7.62,-17.08,-2.15,70.4,-40.17,-50.18,-21.42,-9.53,-1.54,-15.8,-3.35,3.82,-1.52,-13.01,-7.77,-7.29,-1.1,-287.3,-7.56,6.66,7.86,-4.26,-9.63
Other Investing Activities,1.39,-,-,-,-,-,-,-,-,-,-,-,-,-1.12,-0.4,-,0.77,-,-0,0.05,1.11,0.26,0.36,-,-,1.69,-,-,0.18,0.82,-,-,0.02,-6.42,0.05,-,0.06,-0.06,0.9
