Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,1.29,5.8,-0.62,5.72,5.37,14.14,-0.13
Share-Based Compensation,0,0,0,0,0,0.14,0.12
Other Operating Activities,-1.45,-5.95,0.54,-5.84,-6.59,-14.33,-0.01
Operating Cash Flow,-0.16,-0.15,-0.08,-0.12,-1.21,-0.05,-0.01
Share Issuance / Repurchase,0,0,0,0,0,308,0
Debt Issued / Paid,0.15,0.1,0,0.3,0,-0.21,0.11
Other Financing Activities,-,-,-,-,-0.41,-0.16,-0.03
Financing Cash Flow,0.15,0.1,0,0.3,-0.41,307.62,0.08
Net Cash Flow,-0.01,-0.05,-0.08,0.18,-1.62,1.57,0.07
Free Cash Flow,-0.16,-0.15,-0.08,-0.12,-1.21,-0.05,-0.01
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.03,-0.00,-0.00
