Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Net Income,3.82,5.47,6.22,4.48,5.52,1.92,6.42,6.28,6,4.87,9.63,8.7,1.33,2.57,2.41,1.4,1.63,1.72,1.43,0.49,0.63,-0.52,0.46,-0.17
Depreciation & Amortization,0.58,0.52,0.3,0.57,0.55,0.39,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.31,0.35,0.47,0.54,0.52,0.56,0.58,0.57,0.62,0.6,-
Share-Based Compensation,0.59,0.5,0.66,0.68,0.73,0.85,0.73,0.71,0.61,0.67,0.64,0.59,0.65,0.51,0.94,0.47,0.38,0.43,0.44,0.45,0.54,0.5,0.37,-
Other Operating Activities,-4.02,6.72,16.15,6.99,-8.32,25.64,-3.67,133.76,-17.99,-69.6,-30.82,-0.33,-20.77,21.38,-32.38,-14.29,-8.19,6.57,14.54,-12.22,-0.81,5.09,-14.48,-0.4
Operating Cash Flow,0.98,13.21,23.33,12.72,-1.52,28.8,3.76,141.04,-11.09,-63.77,-20.28,9.23,-18.5,24.77,-28.69,-11.95,-5.64,9.24,17.22,-10.15,1.49,6.25,-12.46,-
Operating Cash Flow Growth,-,-54.13%,520.04%,-90.98%,-,-,-,1427.88%,-,-,-,-,-,167.94%,-,-,-,47.89%,-,-,-,-,-,-
Capital Expenditures,-0.8,-0.93,-0.89,-1.11,-0.05,-0.26,-0.74,-0.38,-0.73,-0.5,-0.18,-0.32,-0.2,-0.04,-0.1,-0.19,-0.09,-0.19,-0.36,-0.13,-0.04,-0.05,-0.08,-
Acquisitions,0,0,0.13,0,0,121,0,0,0,0,0,-61.32,0,0,0,0,0,0,0,0,0,0,-1,-
Change in Investments,-2.89,-111.93,-212.27,-251.17,19.94,-98.6,-37.69,-21.08,-4.54,-23.65,-77.16,-251.98,-40.72,-69.41,4.53,-7.52,-43.57,-35.64,-9.25,-20.78,3.3,-17.62,-9.94,-
Investing Cash Flow,-3.68,-112.86,-213.03,-252.28,19.89,22.13,-38.43,-21.46,-5.27,-24.15,-77.34,-313.61,-40.92,-69.45,4.43,-7.71,-43.65,-35.83,-9.6,-20.9,3.26,-17.67,-11.01,-
Share Issuance / Repurchase,0.06,-0.04,-0.11,-0.47,-0.07,1.58,0.03,-0.37,-0.03,-0.01,-0.09,-0.17,-0.37,-0.74,-0.01,-0.11,0,0,32.54,-0.18,1.91,1.4,3.48,-
Debt Issued / Paid,114.5,-106.83,186,59.65,-17.63,-19.94,-47.47,-77.28,48.42,-62.67,-0.36,212.31,8,0,-26.06,15.7,5.36,-29.6,-37.88,27.67,19.37,-3.3,-29.7,-
Other Financing Activities,-13.3,237.78,-2.55,-102.11,66.44,44.18,103.25,-128.77,187.92,56.24,156.74,165.4,91.67,-22.12,103.73,27.08,40.34,59.12,9.67,24.95,1.55,2.51,39.51,-
Financing Cash Flow,101.26,130.91,183.34,-42.94,48.74,25.81,55.81,-206.42,236.3,-6.45,156.3,377.55,99.3,-22.86,77.66,42.67,45.7,29.52,4.34,52.44,22.82,0.61,13.3,-
Net Cash Flow,98.56,31.26,-6.36,-282.49,67.12,76.75,21.15,-86.85,219.95,-94.37,58.68,73.16,39.88,-67.54,53.41,23,-3.59,2.94,11.95,21.39,27.57,-10.81,-10.18,-
Free Cash Flow,0.18,12.28,22.45,11.62,-1.56,28.54,3.02,140.66,-11.82,-64.27,-20.45,8.91,-18.71,24.73,-28.79,-12.15,-5.73,9.05,16.86,-10.28,1.45,6.2,-12.54,-
Free Cash Flow Growth,-,-56.97%,642.51%,-91.74%,-,-,-,1478.32%,-,-,-,-,-,173.15%,-,-,-,46.08%,-,-,-,-,-,-
Free Cash Flow Margin,0.70%,45.14%,81.64%,43.74%,-5.85%,123.50%,12.12%,593.23%,-49.92%,-282.93%,-69.43%,36.98%,-114.54%,154.83%,-173.12%,-73.06%,-38.82%,65.13%,117.03%,-71.03%,9.76%,39.47%,-90.75%,-
Free Cash Flow Per Share,0.02,1.29,2.37,1.23,-0.17,3.55,0.38,17.59,-1.49,-8.08,-2.57,1.13,-2.36,3.10,-3.61,-1.52,-0.72,1.14,2.15,-1.39,0.20,0.84,-,-
