Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Net Income,4.02,4.56,5.8,5.94,5.54,7.72,9.44,8.26,10.17,9,9.21,5.71,2.52,3.14,3.32,2.02,2.01,2.36,2.73,1.8,1.27,-0.01
Depreciation & Amortization,-0,-0.06,-2.09,0.7,0.05,-1.25,-1.86,-1.11,-1.71,-1.9,-0.71,-0.44,0.16,-0.92,1.91,-0.57,0.24,0.33,0.45,0.35,0.29,-0.71
Share-Based Compensation,0.28,0.74,0.38,0.09,0.26,0.82,0.14,0.42,0.23,0.46,0.18,0.12,0,0.01,0.06,0.14,0.06,-0.06,0.08,0.27,0,0.09
Other Operating Activities,-15.7,15.77,23.89,22.49,0.61,31.4,13.02,35.36,54.07,-4.38,-90.97,-22.07,-65.35,14.93,-7.33,-9.95,12.51,-1.29,12.34,-13.78,3.89,-5.67
Operating Cash Flow,-11.4,21.02,27.98,29.23,6.45,38.69,20.75,42.92,62.76,3.18,-82.3,-16.67,-62.68,17.15,-2.04,-8.36,14.82,1.35,15.59,-11.36,5.45,-6
Operating Cash Flow Growth,-,-45.68%,34.83%,-31.91%,-89.72%,1115.55%,-,-,-,-81.44%,-,-,-,1171.31%,-,-,172.08%,-,-,-,-,-
Capital Expenditures,-0.28,-0.89,-0.99,-0.95,-0.08,-3.88,-0.4,-0.42,-0.68,-0.1,-0.18,-0.28,-0.19,-0.11,-0.15,-0.4,-0.09,-0.14,-0.19,-0.19,-1.12,-0.78
Change in Investments,-83.91,-140.7,-95.35,-82.06,-67.13,-20.69,-15.64,-8.48,-80.34,8.38,-50.18,-244.36,-83.92,-37.8,-53.33,-25.16,-26.05,-43.68,-23.29,-46.66,-40.83,-21.97
Other Investing Activities,-,-5,-,-,-,-,-10,-,-,-,-,-,0.13,-,-,-,-,-,-,0.48,0.01,0.06
Investing Cash Flow,-84.2,-146.59,-96.34,-83.01,-67.2,-24.57,-26.04,-8.9,-81.01,8.29,-50.37,-244.64,-83.98,-37.91,-53.47,-25.56,-26.14,-43.82,-23.49,-46.36,-41.93,-22.69
Dividends Paid,-1.43,-1.15,-1.21,-1.23,-7.35,-1.21,-0.77,-0.77,-6.93,-0.76,-0.76,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-2.54,-3.52,-6.02,-2.94,0.28,-0.3,-2.02,0.06,0.33,-0.01,-1.63,-0.06,-5.61,-0.01,0.01,0,0,0.13,0.01,0.01,0,42.11
Debt Issued / Paid,111.75,98.35,-35.68,23,-5.21,-59.62,18.53,-67.1,-123.15,-82.13,121.85,97.66,7.83,26.9,47.66,-4.4,-32.27,70.27,-91.98,55.81,-26.25,16.28
Other Financing Activities,57.93,38.93,105.54,3.16,118.44,7.37,25.77,29.69,142.26,32.31,42.33,172.94,142.59,-7.29,17.75,30,58.58,-29.8,98.68,3.95,52.19,-3.72
Financing Cash Flow,165.71,132.6,62.64,21.99,106.16,-53.77,41.51,-38.13,12.51,-50.59,161.79,270.54,144.81,19.6,65.42,25.6,26.31,40.6,6.71,59.77,25.95,54.67
Net Cash Flow,70.11,7.03,-5.73,-31.8,45.41,-39.64,36.22,-4.1,-5.74,-39.13,29.13,9.22,-1.85,-1.16,9.9,-8.31,14.99,-1.87,-1.19,2.05,-10.54,25.98
Free Cash Flow,-11.68,20.13,26.98,28.27,6.38,34.81,20.35,42.5,62.09,3.09,-82.48,-16.96,-62.86,17.04,-2.19,-8.76,14.73,1.21,15.4,-11.54,4.33,-6.78
Free Cash Flow Growth,-,-42.18%,32.63%,-33.48%,-89.73%,1027.73%,-,-,-,-81.88%,-,-,-,1309.26%,-,-,240.24%,-,-,-,-,-
Free Cash Flow Margin,-50.99%,78.11%,97.33%,103.37%,22.36%,103.52%,53.85%,114.72%,149.36%,7.05%,-218.09%,-59.17%,-362.68%,85.45%,-12.31%,-52.01%,100.16%,7.76%,89.24%,-70.39%,30.50%,-41.63%
Free Cash Flow Per Share,-1.04,1.77,2.30,2.31,0.53,2.91,1.68,3.44,5.03,0.25,-6.77,-1.39,-5.16,1.33,-0.17,-0.68,1.15,0.09,1.20,-,-,-
