Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,2.9,3.3,3.16,3.49,3.02,2.72,3.08,2.78,2.56,2.53,2.53,2.51,2.45,-12.54,-3.25,0.34,1.37,1.47,1.62,1.37,1.21
Depreciation & Amortization,0.3,0.31,0.32,0.35,0.31,0.36,0.38,0.37,0.42,0.37,0.44,0.35,0.31,0.27,0.29,0.27,0.27,0.26,0.28,0.27,0.31
Share-Based Compensation,0.38,0.39,0.39,0.38,0.38,0.39,0.39,0.53,0.51,0.81,0,0,0,0,0,0,0,0,0,0,0
Other Operating Activities,0,-0.44,0.75,1.88,0.18,-16.44,1.97,-3.74,-5.93,5.3,-2.86,-0.17,2.01,15.45,5.36,2.25,0.02,0.05,5.67,-7.28,3.22
Operating Cash Flow,3.59,3.56,4.62,6.1,3.88,-12.98,5.83,-0.06,-2.44,9.01,0.11,2.68,4.77,3.18,2.4,2.86,1.66,1.78,7.57,-5.63,4.75
Operating Cash Flow Growth,-7.54%,-,-20.78%,-,-,-,5005.33%,-,-,183.40%,-95.25%,-6.00%,186.99%,78.46%,-68.27%,-,-64.99%,-,-,-,-
Capital Expenditures,-0.08,-0.16,-0.03,-0.13,-0.06,-0.39,-0.07,-0.01,-0.12,-0.44,-0.57,-0.68,-0.16,-0.29,-0.3,-0.18,-0.19,-0.31,-0.25,-0.48,-0.28
Change in Investments,-27.83,-45.09,-18.31,-36.4,-16.02,-35.79,-42.57,-91.27,-42.01,2.66,-6.22,-50.01,-33.84,-26.08,-35.1,-28.77,-16.03,-29.67,-24.25,-12.52,-33.88
Other Investing Activities,0.06,-,-,0.08,-,-,-,-,0.03,-,-,-,-,0.08,0.01,0.09,-,0.08,0.03,-,-
Investing Cash Flow,-27.85,-45.25,-18.34,-36.45,-16.08,-36.18,-42.64,-91.27,-42.1,2.22,-6.79,-50.69,-34,-26.29,-35.39,-28.86,-16.23,-29.9,-24.46,-13,-34.16
Dividends Paid,-1.52,-1.08,-1.09,-1.1,-1.14,-0.8,-0.8,-6.83,-0.85,-0.61,-0.61,-0.62,0,0,0,0,0,0,0,0,-0.5
Share Issuance / Repurchase,-1.15,-0.24,-0.65,-7.47,-1.5,-0.73,-3.88,-5.23,-1.94,-2.46,-6.62,0,0,0,113.02,0,0,0,0,0,0
Debt Issued / Paid,3.63,-7.04,7.08,-2.07,2.06,-22.03,13.06,18.97,0.04,-6.07,-3.94,-2.12,28.07,12.92,-21.25,11.94,9.09,5.6,26,1.45,-0.91
Other Financing Activities,24.77,46.62,13.31,35.84,9.32,75.92,31.19,36,64.03,29.99,-76.07,133.9,-11.98,9.41,-219.82,185.55,21.45,27.82,-15.81,20.14,28.09
Financing Cash Flow,25.73,38.26,18.66,25.19,8.74,52.36,39.56,42.9,61.29,20.84,-87.23,131.16,16.08,22.33,-128.05,197.48,30.54,33.42,10.18,21.59,26.68
Net Cash Flow,1.47,-3.43,4.93,-5.16,-3.46,3.2,2.75,-48.44,16.75,32.07,-93.91,83.15,-13.14,-0.78,-161.04,171.48,15.97,5.3,-6.71,2.95,-2.74
Free Cash Flow,3.5,3.41,4.58,5.97,3.82,-13.36,5.76,-0.06,-2.56,8.57,-0.46,2.01,4.61,2.89,2.1,2.67,1.47,1.47,7.32,-6.12,4.46
Free Cash Flow Growth,-8.21%,-,-20.43%,-,-,-,-,-,-,196.63%,-,-24.97%,213.54%,96.82%,-71.26%,-,-67.05%,-,-,-,-
Free Cash Flow Margin,32.45%,28.60%,39.86%,51.79%,34.80%,-119.36%,54.32%,-0.63%,-25.23%,86.04%,-5.04%,22.84%,53.44%,36.50%,25.19%,33.86%,19.61%,17.55%,97.64%,-84.25%,64.32%
Free Cash Flow Per Share,0.30,0.29,0.39,0.50,0.31,-1.08,0.46,-0.01,-0.20,0.64,-0.03,0.15,0.34,0.21,0.16,0.20,0.11,0.11,-,-,-
