Metrics,2023-03-31,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Net Income,-12.07,-,-,-0.45,96.98,-0.21,-5.68,-0.14,-16.3,-0.06,0.02,-0.09,0.46,-0.14,-0.12,-0.01,-0
Depreciation & Amortization,0.1,-,-,0.1,0.05,0,0.02,0,0.07,0,0,0,0,0,0,0,0
Share-Based Compensation,3.91,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Operating Activities,-2.13,-,-,1.68,-98.75,0.02,-4.1,0.01,38.54,-0.01,-0.18,-0.02,-0.51,-0.01,-0.03,-0,-
Operating Cash Flow,-10.2,-,-,1.33,-1.73,-0.19,-9.75,-0.13,22.3,-0.06,-0.16,-0.11,-0.05,-0.14,-0.15,-0.01,-0
Capital Expenditures,0,-,-,-0.86,0,0,0,0,-0,0,0,0,0,0,0,0,0
Acquisitions,0,-,-,-7.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,3.99,-,-,1.86,0,0,0,0,-6.76,0,0,0,-0,-0,0,0,0
Investing Cash Flow,3.99,-,-,-6.85,0,0,0,0,-6.77,0,0,0,-0,-0,0,0,0
Dividends Paid,0,-,-,-17.44,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,-,-,0,0,0,0,0,0,0,0,0,0,0,46.79,0.03,0
Debt Issued / Paid,1.78,-,-,0,-163.98,0.04,-6.41,0.03,-5.61,0.03,-0.36,0.04,-0.44,0.07,-0.14,0.5,0
Other Financing Activities,1.68,-,-,2.91,-,-,-,-,-,-,-,-,0.47,-,0.08,-0.08,0
Financing Cash Flow,3.47,-,-,-14.52,-163.98,0.04,-6.41,0.03,-5.61,0.03,-0.36,0.04,0.03,0.07,46.73,0.45,0
Net Cash Flow,-2.66,-,-,-20.15,11.63,-0.15,-17.98,-0.1,10.37,-0.03,-0.52,-0.07,-0.02,-0.07,0.58,0.44,0
Free Cash Flow,-10.2,-,-,0.47,-1.73,-0.19,-9.75,-0.13,22.3,-0.06,-0.16,-0.11,-0.05,-0.14,-0.15,-0.01,-0
Free Cash Flow Margin,-92.08%,-,-,22.45%,-15.04%,-,-157.24%,-,158.74%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.17,-,-,0.01,-0.03,-0.04,-4.46,-0.06,3.73,-0.01,-0.08,-0.06,-0.01,-0.07,-0.10,-0.03,-2.52
