Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Net Income,44.57,14.88,7.71,15.95,36.19,52.25,21.85,75.81,51.49,66.16,88.19,76.48,-172.36,21.45,23.45,23.75,43.92,-1.38,26.76,23.13,23.84,26.88,24.78,27.33,30.42,33.86,25.08,44.69,8.05,-20.03,9.8,20.26,22.91,-8.95,7.41,23.66,23.45,17.95,17.47
Other Operating Activities,-48.08,28.97,62.55,-49.88,-81.36,-159,72.19,-129.45,-7.2,-34.72,-102.45,220.93,158.83,-266.36,-327.31,-54.23,-183.18,-97.39,-163.15,-97.65,-107.65,-48.73,41.96,-96.69,-172.25,-86.18,15.19,-13.25,33.07,-22.4,-173,97.74,1.36,-112.96,-20.51,-193.47,-8.2,-46.59,-1.52
Operating Cash Flow,-3.5,43.86,70.25,-33.93,-45.17,-106.75,94.04,-53.64,44.29,31.44,-14.26,297.41,-13.53,-244.91,-303.86,-30.48,-139.26,-98.77,-136.39,-74.52,-83.81,-21.85,66.74,-69.37,-141.83,-52.33,40.26,31.45,41.12,-42.43,-163.2,118.01,24.27,-121.91,-13.1,-169.81,15.25,-28.64,15.95
Operating Cash Flow Growth,-,-,-25.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.75%,-,-,-,-,-73.35%,69.44%,-,-,-,59.19%,-,-,-,-,-,-
Dividends Paid,-32.3,-32.3,-30.28,-30.22,-28.49,-28.11,-29.07,-28,-29.05,-29.05,-29.05,-29.05,-32.92,-32.09,-28.96,-26.11,-25.98,-25.88,-25.88,-23.49,-25.82,-23.99,-24.04,-24.03,-22.16,-22.2,-20.19,-21.7,-21.72,-21.76,-18.5,-18.5,-18.59,-18.5,-22.38,-16.65,-15.25,-14.38,-15.95
Share Issuance / Repurchase,0,0,2.96,16.58,20.47,12.43,0,0,0,0,0,0,0,125.12,94.19,0,59.3,0,0,0,0,0,0,81.48,0,79.06,0,-1.52,-1.43,0,79.42,0,0,82.51,0,58.64,0,43.02,0
Debt Issued / Paid,12.34,15.72,-34.01,57.61,34.35,97,-9.39,68.5,-43.25,8,58,-234,22.6,132.4,223.6,79.93,122.5,30.35,277.5,102.8,105.8,45.7,-38.8,11.8,155.9,-7.9,-3.05,-5,-15.3,70.23,103.98,-96.05,-6.7,69.78,32.73,153.87,0,0,0
Other Financing Activities,-1.36,-4.96,-0.48,-4.65,-3.79,0.29,-0.13,-6.36,-3.66,-0.09,-2.19,-0.31,-2.61,-1.76,-2.31,-1.75,-0.66,-2.38,-2.84,-0.48,-1.47,-4.57,-0.6,-1.2,-0.18,-0.5,-1.7,-1.45,-0.09,-0.54,-1.31,-1.39,-0.28,-6.29,-1.06,-4.39,-,-,-
Financing Cash Flow,-21.32,-21.55,-61.82,39.32,22.55,81.61,-38.6,34.15,-75.96,-21.14,26.76,-263.35,-12.93,223.67,286.52,52.07,155.16,2.09,248.79,78.83,78.51,17.14,-63.43,68.04,133.57,48.46,-24.94,-29.66,-38.54,47.92,163.58,-115.93,-25.56,127.5,9.29,191.48,-15.25,28.64,-15.95
Net Cash Flow,-24.83,22.31,8.43,5.39,-22.62,-25.14,55.44,-19.49,-31.67,279.92,26.76,-263.35,-12.93,-21.24,-17.35,21.59,15.91,-96.68,112.4,4.31,-5.3,-4.71,3.31,-1.33,-8.27,-3.87,15.33,1.78,2.58,5.49,0.39,2.07,-1.29,5.59,-3.81,21.67,0,0,0
Free Cash Flow,-3.5,43.86,70.25,-33.93,-45.17,-106.75,94.04,-53.64,44.29,31.44,-14.26,297.41,-13.53,-244.91,-303.86,-30.48,-139.26,-98.77,-136.39,-74.52,-83.81,-21.85,66.74,-69.37,-141.83,-52.33,40.26,31.45,41.12,-42.43,-163.2,118.01,24.27,-121.91,-13.1,-169.81,15.25,-28.64,15.95
Free Cash Flow Growth,-,-,-25.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.75%,-,-,-,-,-73.35%,69.44%,-,-,-,59.19%,-,-,-,-,-,-
Free Cash Flow Margin,-3.81%,59.18%,89.55%,-46.41%,-65.50%,-156.48%,137.33%,-80.58%,65.41%,46.14%,-21.76%,450.85%,-18.27%,-334.31%,-418.58%,-45.86%,-216.94%,-155.52%,-225.56%,-136.48%,-158.46%,-41.04%,130.26%,-138.68%,-327.51%,-119.51%,96.25%,75.79%,100.36%,-101.10%,-435.80%,311.32%,66.43%,-331.74%,-37.74%,-503.77%,50.09%,-106.93%,72.44%
Free Cash Flow Per Share,-0.04,0.43,0.70,-0.34,-0.46,-1.10,0.97,-0.55,0.46,0.33,-0.15,3.07,-0.14,-2.58,-3.49,-0.38,-1.77,-1.30,-1.79,-0.98,-1.10,-0.29,0.88,-0.92,-2.03,-0.77,0.63,0.49,0.64,-0.66,-2.78,2.03,0.42,-2.15,-0.25,-3.29,0.32,-0.82,0.42
