Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.83,1.87,2.99,7.1,0,0,-0
Other Operating Activities,-3,-1.97,-3.09,-7.62,-,-0,0
Operating Cash Flow,-0.18,-0.1,-0.1,-0.51,0,-0,0
Change in Investments,0,0,0,-293.25,0,0,0
Investing Cash Flow,0,0,0,-293.25,0,0,0
Share Issuance / Repurchase,0,0,0,282.5,0,0,0
Debt Issued / Paid,0,0,0,-0.21,0.05,0.03,0.01
Other Financing Activities,-,-,-0.02,12.66,-0.05,-0.03,-0.01
Financing Cash Flow,0,0,-0.02,294.95,0,0,-0
Net Cash Flow,-0.18,-0.1,-0.12,1.19,0,-0,-0
Free Cash Flow,-0.18,-0.1,-0.1,-0.51,0,-0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.02,-,-,-
