Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income,49.27,52.27,72.76,79.21,71.27,69.74,74.18,69.27,65.2,54.9,55.74,44.72,57.17,37.59,25.99,14.38,14.53,13.92,20.59,18.68,10.52,11.21,7.85,2.35,4.41,-
Depreciation & Amortization,11.59,11.1,10.75,10.86,10.7,5.38,4.38,4.69,4.39,4.23,3.94,4.17,4.05,5.62,7.77,5.26,5.22,5.36,5.57,5.93,6.41,6.57,7.06,8.13,8.15,-
Share-Based Compensation,5.9,6.94,3.78,2.2,4.79,5.72,4.3,7.01,9.47,8.33,4.74,6.67,2.77,8.2,5.19,4.82,3.92,2.83,5.08,5.18,4.25,2.85,5.81,4.91,3.61,-
Other Operating Activities,-2.61,-3.22,15.77,-2.03,-11.95,31.29,17.03,3.57,0.58,0.44,-2.61,13.43,-12.07,8.29,79.46,6.88,-5.74,12.35,9.06,3.93,4.68,16.13,11.6,2.03,-6.5,-
Operating Cash Flow,64.16,67.09,103.06,90.24,74.81,112.14,99.89,84.54,79.63,67.9,61.81,68.99,51.92,59.7,118.41,31.34,17.94,34.45,40.31,33.72,25.87,36.76,32.32,17.42,9.67,-
Operating Cash Flow Growth,-14.24%,-40.17%,3.18%,6.75%,-6.05%,65.16%,61.61%,22.54%,53.37%,13.73%,-47.80%,120.13%,189.45%,73.30%,193.78%,-7.06%,-30.67%,-6.29%,24.72%,93.57%,167.44%,-,-,-,-,-
Capital Expenditures,-0.57,-0.96,-1.38,-1.73,-1.18,-4.38,-2.73,-5.17,-0.39,-1.01,-1.77,-4.57,-0.71,-2.32,-2.03,-0.41,-0.48,-0.8,-0.43,-0.61,-0.7,-1.17,-0.52,0.26,-0.67,-
Acquisitions,0,0,0,-0.55,-0.33,-538.65,-0.38,-0.18,-0.03,0,0,0,0,0,-851.28,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,-0.97,2.3,0.87,-0.75,-2.62,-2.53,-0.61,-0.83,-0.72,-0.81,-1.82,-0.13,-1.53,-1.61,9.93,-0.66,-0.96,-3.09,-1.93,-1.97,-2.02,-2.27,-2.24,-1.03,-0.9,-
Investing Cash Flow,-1.55,1.34,-0.51,-3.03,-4.12,-545.56,-3.72,-6.18,-1.14,-1.82,-3.59,-4.7,-2.23,-3.92,-843.38,-1.06,-1.45,-3.89,-2.36,-2.57,-2.72,-3.44,-2.76,-0.77,-1.56,-
Dividends Paid,-22.11,-17.07,-17.39,-17.36,-17.38,-11.75,-10.77,-8.25,-6.39,-4.72,-4.51,-3.52,-3.49,-3.45,-3.92,-0.02,-0.04,-0.14,-0.5,-0.14,-0.05,-14.04,-1.18,-0.08,-119.87,-
Share Issuance / Repurchase,-32.67,-38.01,-22.76,-17.4,-8.89,-1.69,-6.22,-8.42,-6.83,-5.51,-8.3,-7,-4.3,-5.08,-3.84,-1.13,-1.41,-3.94,-2.28,-0.72,156.56,0.01,1.11,-3.36,0.78,-
Debt Issued / Paid,0,-15.05,-19,-45,-70,493.73,-35,-57,-50,-49,-43.1,-32.29,-38,-85,725.68,0,-0.1,-0.15,-20.22,-23.48,-179.89,-18.14,-30.14,-8.08,111.69,-
Other Financing Activities,-7.69,-26.97,-19.34,-3.18,-5.37,-42.09,-11.03,-3.47,-7.61,-40.46,-1.27,-3.45,-3.78,-4.16,-9.28,-0.04,-0.2,0.03,-4.96,-3.85,-0.44,0.23,-2.85,-2.27,-5.07,-
Financing Cash Flow,-62.47,-97.11,-78.49,-82.94,-101.65,438.2,-63.02,-77.14,-70.83,-99.69,-57.18,-46.26,-49.57,-97.69,708.65,-1.2,-1.74,-4.19,-27.96,-28.2,-23.82,-31.95,-33.06,-13.8,-12.47,-
Net Cash Flow,0.16,-28.5,23.95,4.17,-30.98,4.79,33.12,1.24,7.64,-33.54,1.1,18.05,0.01,-41.84,-16.36,29.07,14.77,26.35,9.98,2.87,-0.63,1.39,-3.4,2.85,-4.36,-
Free Cash Flow,63.58,66.13,101.69,88.51,73.64,107.76,97.16,79.36,79.24,66.88,60.04,64.42,51.21,57.38,116.38,30.93,17.45,33.64,39.87,33.12,25.17,35.59,31.79,17.68,9.01,-
Free Cash Flow Growth,-13.65%,-38.63%,4.66%,11.52%,-7.07%,61.12%,61.81%,23.20%,54.73%,16.56%,-48.41%,108.25%,193.42%,70.55%,191.89%,-6.59%,-30.65%,-5.48%,25.41%,87.34%,179.41%,-,-,-,-,-
Free Cash Flow Margin,31.58%,32.82%,49.06%,40.97%,32.01%,47.03%,42.94%,35.77%,37.21%,33.38%,31.83%,35.42%,25.05%,26.25%,54.13%,33.86%,19.95%,35.06%,36.89%,31.72%,23.98%,33.69%,31.05%,17.51%,8.95%,-
Free Cash Flow Per Share,0.94,0.97,1.48,1.29,1.07,1.58,1.43,1.17,1.17,0.99,0.89,0.95,0.76,0.85,1.72,0.46,0.26,0.50,0.59,0.49,0.41,0.65,0.58,0.32,0.16,-
