Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,1.21,-2.62,-1.44,7.37,3.26,0.37,1.83,-2.71,6.05,-2.28,-0
Other Operating Activities,-1.11,2.62,1.44,-7.47,-3.46,-0.5,-1.92,2.54,-6.58,2.25,0
Operating Cash Flow,0.1,0,-0.01,-0.1,-0.2,-0.12,-0.09,-0.17,-0.53,-0.03,0
Change in Investments,0.21,0,-0,160.84,0.1,-0,0,0.08,0,-172.5,0
Investing Cash Flow,0.21,0,-0,160.84,0.1,-0,0,0.08,0,-172.5,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,177.35,0.03
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,-0,0
Other Financing Activities,-,-,-,-,-,-,-,-,-,-3.91,-
Financing Cash Flow,0,0,0,0,0,0,0,0,0,173.44,0.03
Net Cash Flow,0.3,0,-0.01,-0.01,-0.1,-0.12,-0.09,-0.09,-0.53,0.92,0.03
Free Cash Flow,0.1,0,-0.01,-0.1,-0.2,-0.12,-0.09,-0.17,-0.53,-0.03,0
Free Cash Flow Per Share,0.02,-,-0.00,-0.01,-0.01,-0.01,-0.00,-0.01,-0.02,-0.01,-
