Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.15,2.83,1.18,2.99,3.22,6.48,2.68,-0.04
Other Operating Activities,-1.49,-3.09,-1.41,-3.35,-3.44,-8.49,-2.33,0.04
Operating Cash Flow,-0.34,-0.26,-0.23,-0.36,-0.22,-2.01,0.35,0
Share Issuance / Repurchase,0,0,0,0,0,0,257,0.03
Debt Issued / Paid,0,0,0,0,0,2,0,0
Other Financing Activities,-,-,-,-,-,-0.2,-5.42,-
Financing Cash Flow,0,0,0,0,0,1.8,251.58,0.03
Net Cash Flow,-0.34,-0.26,-0.23,-0.36,-0.22,-0.21,1.93,0.03
Free Cash Flow,-0.34,-0.26,-0.23,-0.36,-0.22,-2.01,0.35,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.08,0.01,-
