Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.12,0.05,-0.14,-,0
Other Operating Activities,-0.46,0.24,-0.29,-0.33,-
Operating Cash Flow,-0.35,0.3,-0.43,-0.33,0
Change in Investments,0.18,116.73,-116.73,0,0.03
Investing Cash Flow,0.18,116.73,-116.73,0,0.03
Share Issuance / Repurchase,0,-118.03,118.03,118,0
Debt Issued / Paid,0,0,0,-0,0
Other Financing Activities,-,0.45,-0.45,-0.45,-
Financing Cash Flow,0,-117.58,117.58,117.55,0
Net Cash Flow,-0.17,-0.56,0.42,0.5,0.03
Free Cash Flow,-0.35,0.3,-0.43,-0.33,0
Free Cash Flow Per Share,-0.02,0.02,-0.03,-0.07,-
