Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Net Income,63.05,60.73,70.78,65.17,173.74,112.88,85.96,99.37,118.52,48.79,46.1,59.01,48.89,33.11,42.78,45.35,43.96,40.12,29.68,38.1,61.58,33.36,39.24,34.08,33.98,20.88,19.41,22.78,22.66,9.26,15.05,24.77,24.16,16.59
Depreciation & Amortization,16.69,26.5,26.67,27.28,33.3,9.45,10.02,9.67,9.47,9.6,9.25,18.2,9.23,4.45,10.07,3.67,3.64,3.71,3.47,1.79,1.97,2.18,1.97,1.96,2.85,1.81,2.24,2.43,1.92,1.71,1.43,1.32,1.39,-
Share-Based Compensation,40.76,41.4,40.61,19.48,19.15,18.96,34.29,15.64,12.64,16.94,17.2,16.55,16.68,18.35,12.76,12.02,13.78,13.57,17.19,1.19,22.36,13.01,10.56,6.5,10.87,10.64,11.34,9.69,10.05,8.09,7.23,6.09,6.38,-
Other Operating Activities,-29.46,-43.53,-416.08,-47.46,325.83,68.92,-220.36,147.98,167.89,38.58,-187.78,83.15,22.81,66.44,-174.82,71.18,14.83,77.44,-169.31,68.86,-12.92,80.14,-112.73,57.68,65.52,73.04,-100.77,13.13,-11.9,28.39,-130.2,41.19,73.89,-16.59
Operating Cash Flow,91.04,85.1,-278.02,64.47,552.02,210.21,-90.09,272.65,308.51,113.91,-115.24,176.91,97.62,122.35,-109.21,132.21,76.21,134.83,-118.97,109.93,73,128.67,-60.96,100.21,113.22,106.37,-67.78,48.03,22.74,47.44,-106.49,73.37,105.82,-
Operating Cash Flow Growth,-83.51%,-59.52%,-,-76.35%,78.93%,84.54%,-,54.12%,216.05%,-6.90%,-,33.81%,28.09%,-9.26%,-,20.27%,4.40%,4.78%,-,9.70%,-35.53%,20.97%,-,108.65%,397.92%,124.20%,-,-34.54%,-78.51%,-,-,-,-,-
Capital Expenditures,-13.85,-13.31,-4.49,-1.13,-5.05,-1.1,-1.4,-3.15,-4.46,-3.05,-3.49,-3.75,-2.69,-6.84,-7.44,-2.19,-1.34,-2.18,-1.02,-1.54,-0.65,-2.31,-3.22,-1.59,-4.76,-0.62,-7.45,-4.6,-2.23,-1.59,-0.97,-1.57,-1.29,-
Acquisitions,0,0,0,-55.36,-305.33,-0.3,0,0,0,-12.47,0,0,-10.91,0,8.71,0,0,0,-71.41,-2.81,1.7,-0.6,-1,-22.94,-0.27,-0.43,19.91,-227.2,22.34,48.98,119.03,-197.38,-0.04,-
Change in Investments,-3.16,-1.43,72.69,-71.08,-0.78,7.24,160.38,25.47,-56.43,-54.89,12.72,-44.3,-6.37,-51.77,92.38,-83.88,-14.38,-10.91,193.66,-76.48,-72.28,-41.48,-19.08,0,0,0,0,0,0,0,0,0,0,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.17,-1.6,0.84,0.89,-0.03,1.16,-,-,-,16.5,-,-,-,228.59,-2.03,0.21,-0.97,138.43,-99.88,-
Investing Cash Flow,-17.01,-14.74,68.2,-127.56,-311.17,5.84,158.97,22.32,-60.89,-70.41,9.23,-48.05,-19.97,-58.61,93.48,-87.68,-14.87,-12.19,121.2,-79.67,-71.23,-44.39,-23.29,-8.03,-5.03,-1.05,12.45,-3.21,18.08,47.61,117.08,-60.51,-101.21,-
Dividends Paid,-34.23,-33.32,-40.49,-27.45,-27.86,-28.3,-31.21,-21.7,-21.89,-22.17,-26.25,-19.55,-18.89,-19.32,-22.89,-16.64,-16.71,-16.73,-16.84,-12.6,-14.59,-12.41,-12.49,-19.41,-10.39,-10.42,-15.07,-8.91,-8.91,-95.56,-0.92,-1.15,1.15,-
Share Issuance / Repurchase,-0.19,-8.18,-40.72,-121.6,-70.25,-45.45,-67.49,-60.41,-18.6,-23.21,189.06,-1.81,-4.33,-21,-2.5,-0.37,-14.96,-20,-34.23,92.4,-0,-9.42,-7.56,193.57,0,0,0,0,0,0,0,0,0,-
