Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.44,-0.16,-0.54,-,-0.06,-0.04
Other Operating Activities,0.13,0,0.18,-,0.06,0.04
Operating Cash Flow,-0.31,-0.16,-0.36,-,-0,-0
Share Issuance / Repurchase,0,0,0,-,0,0.03
Debt Issued / Paid,0.18,0,0,-,0.02,0.14
Other Financing Activities,-,-,-,-,-0.02,-0.16
Financing Cash Flow,0.18,0,0,-,0.01,0
Net Cash Flow,-0.13,-0.16,-0.36,-,0,0
Free Cash Flow,-0.31,-0.16,-0.36,-,-0,-0
Free Cash Flow Per Share,-0.02,-0.01,-0.02,-,-,-0.00
