Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.32,3.01,1.14,1.67,5.82,2.24,-0.05
Share-Based Compensation,0,0,0,0,0,0.57,0
Other Operating Activities,-0.72,-3.24,-1.37,-1.84,-6.06,-3.5,0.05
Operating Cash Flow,-0.39,-0.23,-0.23,-0.17,-0.24,-0.69,0
Change in Investments,162.75,0,0,0,0,0,0
Investing Cash Flow,162.75,0,0,0,0,0,0
Share Issuance / Repurchase,-163.15,0,0,0,0,0,0
Debt Issued / Paid,0.3,0,0,0,0,0,0
Financing Cash Flow,-162.85,0,0,0,0,0,0
Net Cash Flow,-0.49,-0.23,-0.23,-0.17,-0.24,1.45,0
Free Cash Flow,-0.39,-0.23,-0.23,-0.17,-0.24,-0.69,0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.09,-
