Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.76,0.81,-0.01,-0.13,-0.25,-0,-0.01
Other Operating Activities,-1.95,-0.86,-0.09,-0.03,-0.34,-0.01,0.01
Operating Cash Flow,-0.19,-0.06,-0.09,-0.16,-0.59,-0.01,0
Share Issuance / Repurchase,0,0,0,0,230,0,0.03
Debt Issued / Paid,0,0,0,0,4.6,0,0
Other Financing Activities,-,-,-,-,2.01,-,-
Financing Cash Flow,0,0,0,0,236.61,0,0.03
Net Cash Flow,-0.19,-0.06,-0.09,-0.16,1.42,-0.01,0.03
Free Cash Flow,-0.19,-0.06,-0.09,-0.16,-0.59,-0.01,0
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.06,-0.00,-
