Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,13.16,13.28,11.7,9.95,9.86,11.31,11.03,9.83,10.28,9.46,9.34,10.12,7.01
Depreciation & Amortization,0.42,0.41,0.41,0.4,0.41,0.2,0.14,0.13,0.13,0.13,0.13,0.11,0.1
Share-Based Compensation,0.24,0.26,0.26,0.3,0.28,0.23,0.19,0.96,0.06,0.06,0.38,0.07,0.06
Other Operating Activities,-13.13,4.52,3.79,-2.81,-7.06,-7.77,-8.44,2.25,-1.87,20.69,-11.52,16.11,-10.77
Operating Cash Flow,0.69,18.47,16.17,7.85,3.49,3.97,2.92,13.17,8.6,30.35,-1.68,26.41,-3.6
Operating Cash Flow Growth,-80.09%,365.45%,453.90%,-40.42%,-59.47%,-86.92%,-,-50.14%,-,-,-,-,-
Capital Expenditures,-0.24,-0.08,-0.1,-0.09,-0.22,-0.34,-0.13,-0.13,-0.11,-0.12,-0.29,-0.3,-0.12
Change in Investments,-66.32,-207.41,-198.15,-297.6,-130.24,-224.04,-108.09,-67.37,-52.5,34.94,-80.59,-262.48,-62.67
Other Investing Activities,-2,-,-0,-,-3.05,-0,-,-2.3,-,-1,-,-,-
Investing Cash Flow,-68.56,-207.48,-198.24,-297.68,-133.51,-224.38,-108.22,-69.8,-52.61,33.82,-80.89,-262.77,-62.79
Dividends Paid,-2.59,-2.59,-2.59,-2.59,-7.54,-2.58,-2.58,-35.77,-11,-7.48,-7.28,-4.84,-6.77
Share Issuance / Repurchase,0,0,0,0,0,0,0,111.24,0,0,13.4,0,0
Debt Issued / Paid,20,-33.75,118.55,60,0,0,0,0,0,0,0,-45,20
Other Financing Activities,138.4,167.67,113.02,-1.78,217.2,117.5,102.11,83.18,199.11,-107.58,-67.23,586.66,60.4
Financing Cash Flow,155.81,131.33,228.98,55.63,209.66,114.91,99.53,158.65,188.11,-115.06,-61.11,536.82,73.63
Net Cash Flow,87.95,-57.68,46.91,-234.21,79.64,-105.5,-5.77,102.01,144.1,-50.9,-143.67,300.46,7.24
Free Cash Flow,0.45,18.39,16.08,7.76,3.26,3.63,2.79,13.04,8.49,30.23,-1.97,26.11,-3.73
Free Cash Flow Growth,-86.08%,407.28%,476.31%,-40.48%,-61.57%,-88.00%,-,-50.08%,-,-,-,-,-
Free Cash Flow Margin,1.53%,62.38%,60.21%,32.01%,14.12%,16.75%,12.72%,64.72%,43.61%,161.37%,-11.67%,158.19%,-27.88%
Free Cash Flow Per Share,0.03,1.07,0.93,0.45,0.19,0.21,0.16,0.76,0.52,1.86,-,-,-
