Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,516,504,395,668,348,575,453,414
Depreciation & Amortization,4,4,4,2,3,5,2,2
Share-Based Compensation,20,-77,23,-129,135,92,13,-3
Other Operating Activities,-581,"-5,150","1,655","2,126",-885,763,"-1,868","1,627"
Operating Cash Flow,-41,"-4,719","2,077","2,667",-399,"1,435","-1,400","2,040"
Operating Cash Flow Growth,-,-,-,30.74%,-,-,-,-
Capital Expenditures,-1,7,-1,-2,-17,-33,-2,0
Change in Investments,-4,"1,643",131,-334,279,-715,-142,387
Other Investing Activities,-,3,-,-3,-,1,1,-2
Investing Cash Flow,-5,"1,653",130,-339,262,-747,-143,385
Dividends Paid,-528,0,0,0,-207,0,0,0
Share Issuance / Repurchase,41,0,0,0,0,0,0,0
Debt Issued / Paid,140,"-2,006",-580,"1,068",78,-468,497,211
Other Financing Activities,-,"6,014","-1,665","-3,333",351,-43,920,"-2,376"
Financing Cash Flow,-347,"4,008","-2,245","-2,265",222,-511,"1,417","-2,165"
Net Cash Flow,-393,942,-38,63,85,177,-126,260
Free Cash Flow,-42,"-4,712","2,076","2,665",-416,"1,402","-1,402","2,040"
Free Cash Flow Growth,-,-,-,30.64%,-,-,-,-
Free Cash Flow Margin,-3.98%,-421.84%,249.82%,288.42%,-55.10%,161.52%,-165.72%,275.30%
Free Cash Flow Per Share,-0.11,-12.22,5.38,6.91,-1.08,3.63,-,-
