Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Net Income,57.88,27.59,40.01,85.17,112.26,104.06,70.51,62.91,239.41,112.28,116.71,199.14,221.07,-17.72,-4.31,-29.89,-6.67,80.87,8.61,25.21,174.75,10.98,-13.52,0.9,4.58,7.23,7.03,8.38,10.35,8.11,12.31,0.47,77.44,68.91,41.42,30.84,48.89
Depreciation & Amortization,15.35,15.91,16.66,16.34,17.48,18.05,16.64,16.35,16.78,16.01,16.66,16.71,17.36,16.79,17.6,14.81,16.45,13.6,16.01,16.21,15.34,18.17,15.6,6.8,6.76,7.02,7.16,7.8,7.73,7.6,8.18,8.19,9.66,7.93,8.55,7.48,6.48
Share-Based Compensation,15.58,16.38,18.13,19,13.71,17.49,12.93,12.55,12.78,22.33,0.5,14.76,22.26,16.04,18.4,15.4,21.89,9.4,7.79,5.63,9.12,15.34,3.68,3.43,3.82,13.43,3.21,3.13,3.1,2.64,5.71,48.15,5.38,3.19,5.53,0.73,4.79
Other Operating Activities,-237.19,356.46,158.04,192.31,-398.63,657.51,-80.99,129.74,-135.07,426.67,-149.54,487.33,-479.35,499.89,-0.59,-167.67,-241.64,297.22,-29.2,144.25,-80.21,30.32,127.62,39.18,16.93,24.79,84.29,14.69,30.29,-0.07,32.88,43.85,-10.23,38.26,-6.71,-27.64,34.06
Operating Cash Flow,-148.38,416.34,232.84,312.81,-255.19,797.1,19.08,221.55,133.89,577.29,-15.68,717.94,-218.66,514.99,31.1,-167.36,-209.97,401.08,3.21,191.29,119.01,74.8,133.38,50.31,32.09,52.46,101.69,33.99,51.47,18.29,59.07,100.67,82.25,118.28,48.79,11.41,94.22
Operating Cash Flow Growth,-,-47.77%,1120.27%,41.19%,-,38.08%,-,-69.14%,-,12.10%,-,-,-,28.40%,867.73%,-,-,436.19%,-97.59%,280.25%,270.89%,42.60%,31.17%,48.01%,-37.66%,186.85%,72.14%,-66.24%,-37.43%,-84.54%,21.09%,781.97%,-12.70%,-,-,-,-
Capital Expenditures,-34.43,-15.21,-8.63,-9.37,-31.65,-13.59,-8.7,-14.25,-23.54,-11.18,-17.2,-13.12,-18.86,-15.07,-16.94,-14.9,-10.91,-10.8,-10.66,-14.96,-11.52,-11.23,-11.69,-4.31,-5.86,-5.29,-5.18,-6.5,-3.29,-3.69,-2.83,-11.46,-6.32,-8.5,-12.95,-6.71,-8
Acquisitions,0,0,0,0,0,0,0,0,0,0,65.31,-3.57,-1.15,4.5,-1.5,-1.5,-837.08,-23.67,0.6,0,400.19,-0.33,-798.89,-5.7,0,0,-38.75,0,0,0,0,0,0,0,0,0,0
Change in Investments,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Investing Activities,-1.35,-3.34,-6.35,48.4,-3.38,-8.32,-14,-2.85,-2.11,-2.44,-7.97,-,-,-6.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-35.78,-18.55,-14.98,39.03,-35.03,-21.91,-22.7,-17.1,-25.64,-6,40.14,-16.68,-20.01,-16.82,-18.44,-16.4,-847.99,-34.47,-10.06,-14.96,388.67,-11.56,-810.58,-10.02,-5.86,-5.29,-43.94,-6.5,-3.29,-3.69,-2.83,-11.46,-6.32,-8.5,-12.95,-6.71,-8
Dividends Paid,-52,-59.19,-87.32,-102.97,-125.81,-117.39,-108.7,-132.55,-189.39,-146.45,-113.79,-175.41,-48.77,-128.04,-28.69,-28.59,-26.31,-26,-26.02,-25.93,-22.38,-21.8,-21.74,-10.16,-10.11,-9.64,-9.38,-9.36,-9.38,-17.36,0,-50,-80,-140.65,0,0,0
Share Issuance / Repurchase,-93.64,-46.07,-81.42,-47.12,-309.08,-107.45,-139.01,-100.25,-74.16,-35.35,1.19,7.33,-6.6,-3.91,-1.17,-2.49,-7.95,-8.24,-21.56,32.04,-0.87,-743.56,731.18,-0.5,-0.94,-5.14,-1.21,-0.5,-0.5,-5.84,0,49.71,-0.6,-0.23,-0.64,0,-0.04
Debt Issued / Paid,99.1,-163.99,10.07,15.95,243.34,-251.64,98.23,-61.8,173.8,-59.9,-1.72,-596.81,349.64,-73.81,-52.5,-62.05,"1,185.1",0,-146.24,-87.53,-283.5,19.53,-731.52,"1,100.91",-4.35,45.07,-18.69,34.73,-14.28,15.62,26.72,-1.24,0,-55.46,-9.28,23.73,-39.08
Other Financing Activities,-,-,-,39.2,-21.34,68.94,-,-16.51,-,-,-,-,-13.29,77.54,-25.45,-14.89,-37.2,-10.84,-42.81,-66.57,-99.04,-16.95,-28.5,-16.07,-28.06,-39.1,-32.35,-50.28,-41.24,-0.47,-52,-28.91,-,125.65,-35,-45.65,-45
