Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Net Income,62.2,63.11,57.43,49.13,44.35,41.66,39.78,39.62,41.62,42.06,30.54,34.33,40.28,43.89,42.44,38.64,52.11,50.91,50.37,49.71,44.2,40.25,41.09,36.05,35.86,-9.91,19.93,25.71,22.64,-6.47
Depreciation & Amortization,8.28,8.92,9.87,9.99,11.4,15,16.94,18.57,18.95,17.31,17.01,14.93,13.19,13.05,12.71,12.05,10.57,11.66,10.05,12.55,12.22,12.51,12.46,12.63,12.8,13.66,12.97,14.41,11.23,12.01
Share-Based Compensation,4.5,5.17,4.37,4.22,3.32,3.55,4.37,3.83,3.4,3.28,4.61,3.28,4.08,3.57,3.36,6.88,3.91,3.11,3.28,3.01,3.19,2.89,1.74,2.02,1.76,0.63,9.91,2.09,1.79,2.15
Other Operating Activities,2.18,-5.54,-26.66,-21.92,2.11,11.46,24.25,-19.29,-12.34,-27.92,33.45,16.42,-58.7,-111.77,139.73,3.82,-26.24,17.84,5.06,-10.9,30.44,11.59,-18.32,32.74,4.06,1.1,41.46,-41.28,-5.27,15.66
Operating Cash Flow,77.16,71.66,45.02,41.42,61.17,71.67,85.34,42.72,51.62,34.74,85.61,68.96,-1.16,-51.26,198.23,61.4,40.36,83.51,68.75,54.37,90.05,67.23,36.97,83.44,54.48,50.75,88.39,4.99,34.51,27.51
Operating Cash Flow Growth,26.13%,-0.02%,-47.25%,-3.04%,18.52%,106.34%,-0.31%,-38.05%,-,-,-56.81%,12.32%,-,-,188.33%,12.93%,-55.18%,24.22%,85.98%,-34.84%,65.27%,32.47%,-58.18%,1571.85%,57.89%,84.49%,-,-,-,-
Capital Expenditures,-7.08,-6.09,-7.56,-6.17,-7.06,-7.2,-3.41,-2.23,-2.88,0.34,-4.53,-10.68,-5.7,-6.43,-6.7,-7.12,-2.53,-6.64,-4.22,-3.89,-3.77,-6.39,-4.99,-3.95,-3.89,-3.34,-1.79,-1.89,-2.78,1.68
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,815.75",0,0,0,0.08,9.37,-30.17,0,0,0,0,-13.19,0.48,-9.08,0,1.03
Change in Investments,-85.06,237.91,494.01,-144.05,-268.97,-153.2,-266.77,-652.14,-817.83,-61.69,-217.72,280.34,-22.08,-539.83,-723.05,-197.74,-238.92,364,105.26,-177.51,87.02,-173.32,-82.43,184.23,-73.57,407.56,-939.87,-283.82,-347.12,-76.46
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.31,-,-,-,-,-,-,-,-,-,-,-,-
