Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.35,0.68,2.09,1.77,2.71,-0.8,0
Other Operating Activities,-2.5,-0.84,-2.21,-2.19,-2.88,-0.03,-
Operating Cash Flow,-0.16,-0.16,-0.12,-0.42,-0.18,-0.83,0
Other Investing Activities,0.32,-,-,-,-,-,-
Investing Cash Flow,0.32,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,155,0
Debt Issued / Paid,0.15,0.07,0,0,0,0,0
Other Financing Activities,-,-,-,-,-,-3.37,-
Financing Cash Flow,0.15,0.07,0,0,0,151.63,0
Net Cash Flow,0.31,-0.09,-0.12,-0.42,-0.18,0.8,0
Free Cash Flow,-0.16,-0.16,-0.12,-0.42,-0.18,-0.83,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.02,-0.01,-0.04,-
