Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.27,1.53,0.68,-0.05,-0.28,-0,-0,-0,-0.01
Other Operating Activities,-1.3,-1.72,-0.84,-0.22,-1.04,-0.01,-,0,0.01
Operating Cash Flow,-1.03,-0.19,-0.15,-0.27,-1.32,-0.01,-0,-0,0
Change in Investments,0,0,0,0,-235.75,0,0,0,0
Investing Cash Flow,0,0,0,0,-235.75,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,225.41,0,0,0,0
Debt Issued / Paid,0.9,0,0,0,-0.24,0.05,0.01,0.02,0.16
Other Financing Activities,-0.09,-,-,-,13.13,-0.04,-0.01,-0.02,-0.16
Financing Cash Flow,0.82,0,0,0,238.3,0.01,0,0,0
Net Cash Flow,-0.22,-0.19,-0.15,-0.27,1.23,0,0,0,0
Free Cash Flow,-1.03,-0.19,-0.15,-0.27,-1.32,-0.01,-0,-0,0
Free Cash Flow Per Share,-0.04,-0.01,-0.01,-0.01,-0.05,-0.00,-,-,-
