Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.18,1.74,3.41,1.86,3.52,-0.57,3.25,6.12,-0.41
Other Operating Activities,-1.18,-1.84,-3.59,-2.15,-3.74,0.49,-3.32,-6.21,-0.58
Operating Cash Flow,-1,-0.1,-0.18,-0.29,-0.22,-0.08,-0.06,-0.1,-0.99
Change in Investments,321.59,0.24,0.12,0,0,0,0,0,-333.5
Investing Cash Flow,321.59,0.24,0.12,0,0,0,0,0,-333.5
Share Issuance / Repurchase,-321.16,0,0,0,0,0,0,0,326.86
Debt Issued / Paid,0.2,0,0,0,0,0,0,0,0
Other Financing Activities,-,-,-,-,-,-,-,-0.27,8.95
Financing Cash Flow,-320.96,0,0,0,0,0,0,-0.27,335.81
Net Cash Flow,-0.37,0.14,-0.06,-0.29,-0.22,-0.08,-0.06,-0.37,1.32
Free Cash Flow,-1,-0.1,-0.18,-0.29,-0.22,-0.08,-0.06,-0.1,-0.99
Free Cash Flow Per Share,-0.06,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.07
