Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
Net Income,-1.88,-7.36,-5.09,-2.35,-5.66,-3.84,-5.59,-1.16,-6.07,-6.42,-3.26,-6.77,-8.58,-1.95,-8.54,-2.6,-6.24,-4.58,-2.87,-3.13
Depreciation & Amortization,1.22,0.92,0.94,1.05,1.2,0.85,0.87,0.8,0.81,0.9,0.62,0.67,0.59,0.21,0.31,0.47,0.45,0.14,0.67,-
Other Operating Activities,-4.69,6.17,6.15,-2.24,-1.1,0.94,13.74,6.16,-8.29,8.72,-0.69,11.63,7.9,5.69,8.44,6.41,-5.45,13.17,4.44,3.13
Operating Cash Flow,-5.35,-0.28,2.01,-3.54,-5.56,-2.06,9.02,5.79,-13.55,3.19,-3.32,5.52,-0.09,3.95,0.21,4.28,-11.23,8.73,2.25,-
Operating Cash Flow Growth,-,-,-77.78%,-,-,-,-,4.91%,-,-19.15%,-,28.93%,-,-54.78%,-90.57%,-,-,-,-,-
Change in Investments,3.36,-2.05,-10.2,6.93,1.3,7.9,-3.96,5.3,-4.1,-6.35,-13.55,-1.26,18.26,44.4,-73.63,-1.87,5.48,4,-2.8,-
Other Investing Activities,-1.12,-0.59,-1.01,-1.03,-2.12,-1.48,-1.78,-1.5,-1.64,-1.48,-1.19,-1.3,-1.88,3.41,-1.07,-1.15,-1.18,-,-,-
Investing Cash Flow,2.24,-2.64,-11.21,5.91,-0.82,6.41,-5.74,3.8,-5.75,-7.83,-14.74,-2.56,16.38,47.81,-74.7,-3.03,4.3,4,-2.8,-
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,-92.97,0,0,0,0,0,-
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,140.57,0,0,0,0,-
Debt Issued / Paid,1.99,1.69,1.58,6.6,-0.71,-0.73,-1.25,-1.45,-2.16,1.9,2.73,2.56,1.27,1.53,1.35,1.91,1.46,1.97,2.35,-
Other Financing Activities,-3.36,-1.7,-1.38,-1.25,-1.32,-1.93,-1.19,-1.15,-1.9,-1.27,-1.38,-1.76,-2.19,-2.05,-2.1,-2.24,-2.18,-3.55,-2.05,-
Financing Cash Flow,-1.37,-0.01,0.21,5.35,-2.03,-2.67,-2.44,-2.61,-4.07,0.63,1.35,0.8,-0.93,-93.5,139.82,-0.34,-0.72,-1.59,0.3,-
Net Cash Flow,-4.48,-2.93,-9,7.72,-8.42,1.69,0.85,6.98,-23.36,-4.01,-16.71,3.76,15.36,-41.75,65.34,0.92,-7.65,11.14,-0.26,-
Free Cash Flow,-5.35,-0.28,2.01,-3.54,-5.56,-2.06,9.02,5.79,-13.55,3.19,-3.32,5.52,-0.09,3.95,0.21,4.28,-11.23,8.73,2.25,-
Free Cash Flow Growth,-,-,-77.78%,-,-,-,-,4.91%,-,-19.15%,-,28.93%,-,-54.78%,-90.57%,-,-,-,-,-
Free Cash Flow Margin,-12.00%,-0.66%,5.05%,-8.27%,-14.08%,-4.25%,21.52%,13.18%,-32.09%,8.33%,-9.10%,15.06%,-0.24%,12.55%,0.61%,11.88%,-33.84%,28.47%,7.14%,-
Free Cash Flow Per Share,-0.36,-0.02,0.14,-0.24,-0.37,-0.14,0.61,0.39,-0.91,0.21,-0.22,0.37,-0.01,0.27,0.01,0.29,-0.76,0.59,0.15,-
