Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-0.01,0.57,0.29,-0.07,-0.2,-0.02,-0.01
Other Operating Activities,-0.24,-0.72,-0.44,-0.06,-0.15,0.01,0
Operating Cash Flow,-0.25,-0.15,-0.15,-0.13,-0.35,-0,-0
Change in Investments,78.17,0,0,0,-87.11,0,0
Investing Cash Flow,78.17,0,0,0,-87.11,0,0
Share Issuance / Repurchase,-78.32,0,0,0,88.39,0,0
Debt Issued / Paid,0.88,0.07,0,0,-0.27,0,0.23
Other Financing Activities,-,-,-,-,-0.29,-0.07,-0.1
Financing Cash Flow,-77.45,0.07,0,0,87.82,-0.07,0.12
Net Cash Flow,0.48,-0.08,-0.15,-0.13,0.36,-0.08,0.12
Free Cash Flow,-0.25,-0.15,-0.15,-0.13,-0.35,-0,-0
Free Cash Flow Per Share,-0.05,-0.01,-0.01,-0.01,-0.04,-0.00,-0.00
